date,cmname,price,mktname
8/15/2006,Lentils (masur) - Retail,54,Barisal Division
9/15/2006,Lentils (masur) - Retail,54,Barisal Division
2/15/2007,Lentils (masur) - Retail,53,Barisal Division
3/15/2007,Lentils (masur) - Retail,50,Barisal Division
4/15/2007,Lentils (masur) - Retail,50,Barisal Division
5/15/2007,Lentils (masur) - Retail,54,Barisal Division
6/15/2007,Lentils (masur) - Retail,57,Barisal Division
7/15/2007,Lentils (masur) - Retail,58,Barisal Division
8/15/2007,Lentils (masur) - Retail,59,Barisal Division
9/15/2007,Lentils (masur) - Retail,61,Barisal Division
10/15/2007,Lentils (masur) - Retail,61.5,Barisal Division
11/15/2007,Lentils (masur) - Retail,67,Barisal Division
12/15/2007,Lentils (masur) - Retail,66.5,Barisal Division
1/15/2008,Lentils (masur) - Retail,64,Barisal Division
2/15/2008,Lentils (masur) - Retail,67,Barisal Division
3/15/2008,Lentils (masur) - Retail,71,Barisal Division
4/15/2008,Lentils (masur) - Retail,77,Barisal Division
5/15/2008,Lentils (masur) - Retail,81,Barisal Division
6/15/2008,Lentils (masur) - Retail,83,Barisal Division
7/15/2008,Lentils (masur) - Retail,89,Barisal Division
8/15/2008,Lentils (masur) - Retail,88,Barisal Division
9/15/2008,Lentils (masur) - Retail,88.5,Barisal Division
10/15/2008,Lentils (masur) - Retail,87.5,Barisal Division
11/15/2008,Lentils (masur) - Retail,86.5,Barisal Division
12/15/2008,Lentils (masur) - Retail,85,Barisal Division
1/15/2009,Lentils (masur) - Retail,82,Barisal Division
2/15/2009,Lentils (masur) - Retail,79,Barisal Division
3/15/2009,Lentils (masur) - Retail,77.5,Barisal Division
4/15/2009,Lentils (masur) - Retail,81,Barisal Division
5/15/2009,Lentils (masur) - Retail,85,Barisal Division
6/15/2009,Lentils (masur) - Retail,86,Barisal Division
8/15/2009,Lentils (masur) - Retail,100,Barisal Division
9/15/2009,Lentils (masur) - Retail,98,Barisal Division
11/15/2009,Lentils (masur) - Retail,100.5,Barisal Division
12/15/2009,Lentils (masur) - Retail,102,Barisal Division
1/15/2010,Lentils (masur) - Retail,102,Barisal Division
2/15/2010,Lentils (masur) - Retail,91,Barisal Division
3/15/2010,Lentils (masur) - Retail,87,Barisal Division
4/15/2010,Lentils (masur) - Retail,81,Barisal Division
5/15/2010,Lentils (masur) - Retail,81,Barisal Division
6/15/2010,Lentils (masur) - Retail,85,Barisal Division
7/15/2010,Lentils (masur) - Retail,85,Barisal Division
3/15/2011,Lentils (masur) - Retail,74.5,Barisal Division
4/15/2011,Lentils (masur) - Retail,75.34,Barisal Division
5/15/2011,Lentils (masur) - Retail,75,Barisal Division
6/15/2011,Lentils (masur) - Retail,75,Barisal Division
7/15/2011,Lentils (masur) - Retail,75,Barisal Division
8/15/2011,Lentils (masur) - Retail,74.33,Barisal Division
9/15/2011,Lentils (masur) - Retail,74.67,Barisal Division
10/15/2011,Lentils (masur) - Retail,74.4286,Barisal Division
11/15/2011,Lentils (masur) - Retail,63.75,Barisal Division
12/15/2011,Lentils (masur) - Retail,73.4242,Barisal Division
1/15/2012,Lentils (masur) - Retail,70.5,Barisal Division
2/15/2012,Lentils (masur) - Retail,71.5,Barisal Division
3/15/2012,Lentils (masur) - Retail,68.5,Barisal Division
4/15/2012,Lentils (masur) - Retail,70,Barisal Division
5/15/2012,Lentils (masur) - Retail,82.75,Barisal Division
6/15/2012,Lentils (masur) - Retail,85,Barisal Division
7/15/2012,Lentils (masur) - Retail,85.5,Barisal Division
8/15/2012,Lentils (masur) - Retail,91,Barisal Division
9/15/2012,Lentils (masur) - Retail,93.25,Barisal Division
10/15/2012,Lentils (masur) - Retail,94,Barisal Division
11/15/2012,Lentils (masur) - Retail,93,Barisal Division
12/15/2012,Lentils (masur) - Retail,93,Barisal Division
1/15/2013,Lentils (masur) - Retail,85.5,Barisal Division
2/15/2013,Lentils (masur) - Retail,82.75,Barisal Division
3/15/2013,Lentils (masur) - Retail,83,Barisal Division
4/15/2013,Lentils (masur) - Retail,81.75,Barisal Division
5/15/2013,Lentils (masur) - Retail,85.25,Barisal Division
6/15/2013,Lentils (masur) - Retail,86,Barisal Division
7/15/2013,Lentils (masur) - Retail,84.5,Barisal Division
8/15/2013,Lentils (masur) - Retail,83,Barisal Division
9/15/2013,Lentils (masur) - Retail,83.6667,Barisal Division
10/15/2013,Lentils (masur) - Retail,80,Barisal Division
11/15/2013,Lentils (masur) - Retail,80,Barisal Division
12/15/2013,Lentils (masur) - Retail,81.33,Barisal Division
1/15/2014,Lentils (masur) - Retail,81.67,Barisal Division
2/15/2014,Lentils (masur) - Retail,82.25,Barisal Division
3/15/2014,Lentils (masur) - Retail,80.5,Barisal Division
4/15/2014,Lentils (masur) - Retail,77.5,Barisal Division
5/15/2014,Lentils (masur) - Retail,82.25,Barisal Division
6/15/2014,Lentils (masur) - Retail,83,Barisal Division
7/15/2014,Lentils (masur) - Retail,82.83,Barisal Division
8/15/2014,Lentils (masur) - Retail,78.6667,Barisal Division
9/15/2014,Lentils (masur) - Retail,76.5,Barisal Division
10/15/2014,Lentils (masur) - Retail,83.2,Barisal Division
11/15/2014,Lentils (masur) - Retail,84.5,Barisal Division
12/15/2014,Lentils (masur) - Retail,88,Barisal Division
1/15/2015,Lentils (masur) - Retail,89.3333,Barisal Division
2/15/2015,Lentils (masur) - Retail,90.6667,Barisal Division
3/15/2015,Lentils (masur) - Retail,90.5,Barisal Division
4/15/2015,Lentils (masur) - Retail,87.3333,Barisal Division
5/15/2015,Lentils (masur) - Retail,93.4,Barisal Division
6/15/2015,Lentils (masur) - Retail,97,Barisal Division
7/15/2015,Lentils (masur) - Retail,98.5,Barisal Division
8/15/2015,Lentils (masur) - Retail,104,Barisal Division
9/15/2015,Lentils (masur) - Retail,105.2,Barisal Division
10/15/2015,Lentils (masur) - Retail,104,Barisal Division
11/15/2015,Lentils (masur) - Retail,104.6,Barisal Division
12/15/2015,Lentils (masur) - Retail,109,Barisal Division
1/15/2016,Lentils (masur) - Retail,108.4,Barisal Division
2/15/2016,Lentils (masur) - Retail,106.4,Barisal Division
3/15/2016,Lentils (masur) - Retail,106.33,Barisal Division
4/15/2016,Lentils (masur) - Retail,109,Barisal Division
5/15/2016,Lentils (masur) - Retail,111,Barisal Division
6/15/2016,Lentils (masur) - Retail,109,Barisal Division
7/15/2016,Lentils (masur) - Retail,108,Barisal Division
8/15/2016,Lentils (masur) - Retail,107.67,Barisal Division
9/15/2016,Lentils (masur) - Retail,107.8,Barisal Division
10/15/2016,Lentils (masur) - Retail,106.25,Barisal Division
11/15/2016,Lentils (masur) - Retail,103,Barisal Division
12/15/2016,Lentils (masur) - Retail,101.75,Barisal Division
1/15/2017,Lentils (masur) - Retail,100.75,Barisal Division
2/15/2017,Lentils (masur) - Retail,95.5,Barisal Division
3/15/2017,Lentils (masur) - Retail,92.75,Barisal Division
4/15/2017,Lentils (masur) - Retail,86.25,Barisal Division
5/15/2017,Lentils (masur) - Retail,81.75,Barisal Division
8/15/2017,Lentils (masur) - Retail,72.312,Barisal Division
