date,cmname,price,mktname
8/15/2006,Rice (coarse) - Retail,17,Barisal Division
9/15/2006,Rice (coarse) - Retail,17,Barisal Division
10/15/2006,Rice (coarse) - Retail,18,Barisal Division
12/15/2006,Rice (coarse) - Retail,18,Barisal Division
1/15/2007,Rice (coarse) - Retail,18,Barisal Division
2/15/2007,Rice (coarse) - Retail,19,Barisal Division
3/15/2007,Rice (coarse) - Retail,20,Barisal Division
4/15/2007,Rice (coarse) - Retail,21,Barisal Division
5/15/2007,Rice (coarse) - Retail,20,Barisal Division
6/15/2007,Rice (coarse) - Retail,21,Barisal Division
7/15/2007,Rice (coarse) - Retail,21,Barisal Division
8/15/2007,Rice (coarse) - Retail,21,Barisal Division
9/15/2007,Rice (coarse) - Retail,22,Barisal Division
10/15/2007,Rice (coarse) - Retail,22,Barisal Division
11/15/2007,Rice (coarse) - Retail,23,Barisal Division
12/15/2007,Rice (coarse) - Retail,26.5,Barisal Division
1/15/2008,Rice (coarse) - Retail,31,Barisal Division
2/15/2008,Rice (coarse) - Retail,29,Barisal Division
3/15/2008,Rice (coarse) - Retail,32,Barisal Division
4/15/2008,Rice (coarse) - Retail,32,Barisal Division
5/15/2008,Rice (coarse) - Retail,32,Barisal Division
6/15/2008,Rice (coarse) - Retail,33,Barisal Division
7/15/2008,Rice (coarse) - Retail,34,Barisal Division
8/15/2008,Rice (coarse) - Retail,34.5,Barisal Division
9/15/2008,Rice (coarse) - Retail,32.5,Barisal Division
10/15/2008,Rice (coarse) - Retail,34,Barisal Division
11/15/2008,Rice (coarse) - Retail,29.5,Barisal Division
12/15/2008,Rice (coarse) - Retail,29,Barisal Division
1/15/2009,Rice (coarse) - Retail,27,Barisal Division
2/15/2009,Rice (coarse) - Retail,26,Barisal Division
3/15/2009,Rice (coarse) - Retail,25,Barisal Division
4/15/2009,Rice (coarse) - Retail,23,Barisal Division
5/15/2009,Rice (coarse) - Retail,22,Barisal Division
6/15/2009,Rice (coarse) - Retail,20.5,Barisal Division
7/15/2009,Rice (coarse) - Retail,20,Barisal Division
8/15/2009,Rice (coarse) - Retail,20,Barisal Division
9/15/2009,Rice (coarse) - Retail,21.5,Barisal Division
10/15/2009,Rice (coarse) - Retail,21.5,Barisal Division
11/15/2009,Rice (coarse) - Retail,22.5,Barisal Division
12/15/2009,Rice (coarse) - Retail,24,Barisal Division
1/15/2010,Rice (coarse) - Retail,26.5,Barisal Division
2/15/2010,Rice (coarse) - Retail,28,Barisal Division
3/15/2010,Rice (coarse) - Retail,29.5,Barisal Division
4/15/2010,Rice (coarse) - Retail,28,Barisal Division
5/15/2010,Rice (coarse) - Retail,28,Barisal Division
6/15/2010,Rice (coarse) - Retail,29,Barisal Division
7/15/2010,Rice (coarse) - Retail,30,Barisal Division
8/15/2010,Rice (coarse) - Retail,31,Barisal Division
9/15/2010,Rice (coarse) - Retail,31,Barisal Division
10/15/2010,Rice (coarse) - Retail,36,Barisal Division
11/15/2010,Rice (coarse) - Retail,35,Barisal Division
12/15/2010,Rice (coarse) - Retail,34,Barisal Division
1/15/2011,Rice (coarse) - Retail,36,Barisal Division
2/15/2011,Rice (coarse) - Retail,36,Barisal Division
3/15/2011,Rice (coarse) - Retail,38,Barisal Division
4/15/2011,Rice (coarse) - Retail,38,Barisal Division
5/15/2011,Rice (coarse) - Retail,38,Barisal Division
6/15/2011,Rice (coarse) - Retail,31,Barisal Division
7/15/2011,Rice (coarse) - Retail,32,Barisal Division
8/15/2011,Rice (coarse) - Retail,31.75,Barisal Division
9/15/2011,Rice (coarse) - Retail,33,Barisal Division
10/15/2011,Rice (coarse) - Retail,30.6,Barisal Division
11/15/2011,Rice (coarse) - Retail,27.5455,Barisal Division
12/15/2011,Rice (coarse) - Retail,28,Barisal Division
1/15/2012,Rice (coarse) - Retail,29,Barisal Division
2/15/2012,Rice (coarse) - Retail,29,Barisal Division
3/15/2012,Rice (coarse) - Retail,28.3333,Barisal Division
4/15/2012,Rice (coarse) - Retail,27,Barisal Division
5/15/2012,Rice (coarse) - Retail,28.5,Barisal Division
6/15/2012,Rice (coarse) - Retail,28,Barisal Division
7/15/2012,Rice (coarse) - Retail,25.5,Barisal Division
8/15/2012,Rice (coarse) - Retail,24.75,Barisal Division
9/15/2012,Rice (coarse) - Retail,24.5,Barisal Division
10/15/2012,Rice (coarse) - Retail,25,Barisal Division
11/15/2012,Rice (coarse) - Retail,26.5,Barisal Division
12/15/2012,Rice (coarse) - Retail,26.5,Barisal Division
1/15/2013,Rice (coarse) - Retail,26,Barisal Division
2/15/2013,Rice (coarse) - Retail,29,Barisal Division
3/15/2013,Rice (coarse) - Retail,30.33,Barisal Division
4/15/2013,Rice (coarse) - Retail,29.33,Barisal Division
5/15/2013,Rice (coarse) - Retail,30.5,Barisal Division
6/15/2013,Rice (coarse) - Retail,29.5,Barisal Division
7/15/2013,Rice (coarse) - Retail,31,Barisal Division
8/15/2013,Rice (coarse) - Retail,31.3333,Barisal Division
9/15/2013,Rice (coarse) - Retail,31.2857,Barisal Division
10/15/2013,Rice (coarse) - Retail,32.5,Barisal Division
11/15/2013,Rice (coarse) - Retail,33.6667,Barisal Division
12/15/2013,Rice (coarse) - Retail,33.5,Barisal Division
1/15/2014,Rice (coarse) - Retail,34,Barisal Division
2/15/2014,Rice (coarse) - Retail,33,Barisal Division
3/15/2014,Rice (coarse) - Retail,33.25,Barisal Division
4/15/2014,Rice (coarse) - Retail,34,Barisal Division
5/15/2014,Rice (coarse) - Retail,33.5,Barisal Division
6/15/2014,Rice (coarse) - Retail,34,Barisal Division
7/15/2014,Rice (coarse) - Retail,34,Barisal Division
8/15/2014,Rice (coarse) - Retail,35,Barisal Division
9/15/2014,Rice (coarse) - Retail,35,Barisal Division
10/15/2014,Rice (coarse) - Retail,33,Barisal Division
11/15/2014,Rice (coarse) - Retail,33.5,Barisal Division
12/15/2014,Rice (coarse) - Retail,33,Barisal Division
1/15/2015,Rice (coarse) - Retail,31.3333,Barisal Division
2/15/2015,Rice (coarse) - Retail,32.3333,Barisal Division
3/15/2015,Rice (coarse) - Retail,32.3333,Barisal Division
4/15/2015,Rice (coarse) - Retail,29,Barisal Division
5/15/2015,Rice (coarse) - Retail,27.5,Barisal Division
6/15/2015,Rice (coarse) - Retail,27.33,Barisal Division
7/15/2015,Rice (coarse) - Retail,27.33,Barisal Division
8/15/2015,Rice (coarse) - Retail,27.67,Barisal Division
9/15/2015,Rice (coarse) - Retail,26.67,Barisal Division
10/15/2015,Rice (coarse) - Retail,27,Barisal Division
11/15/2015,Rice (coarse) - Retail,26,Barisal Division
12/15/2015,Rice (coarse) - Retail,26.67,Barisal Division
1/15/2016,Rice (coarse) - Retail,27,Barisal Division
2/15/2016,Rice (coarse) - Retail,27,Barisal Division
3/15/2016,Rice (coarse) - Retail,25.67,Barisal Division
4/15/2016,Rice (coarse) - Retail,25,Barisal Division
5/15/2016,Rice (coarse) - Retail,25,Barisal Division
6/15/2016,Rice (coarse) - Retail,30,Barisal Division
7/15/2016,Rice (coarse) - Retail,30,Barisal Division
8/15/2016,Rice (coarse) - Retail,33,Barisal Division
9/15/2016,Rice (coarse) - Retail,36,Barisal Division
10/15/2016,Rice (coarse) - Retail,35,Barisal Division
11/15/2016,Rice (coarse) - Retail,35,Barisal Division
12/15/2016,Rice (coarse) - Retail,32.5,Barisal Division
1/15/2017,Rice (coarse) - Retail,33.5,Barisal Division
2/15/2017,Rice (coarse) - Retail,35,Barisal Division
3/15/2017,Rice (coarse) - Retail,37,Barisal Division
4/15/2017,Rice (coarse) - Retail,37,Barisal Division
5/15/2017,Rice (coarse) - Retail,37.5,Barisal Division
8/15/2017,Rice (coarse) - Retail,39.54,Barisal Division
9/15/2017,Rice (coarse) - Retail,43.65,Barisal Division
10/15/2017,Rice (coarse) - Retail,41.983,Barisal Division
11/15/2017,Rice (coarse) - Retail,40.167,Barisal Division
12/15/2017,Rice (coarse) - Retail,43.83,Barisal Division
1/15/2018,Rice (coarse) - Retail,41.79,Barisal Division
2/15/2018,Rice (coarse) - Retail,42.77,Barisal Division
3/15/2018,Rice (coarse) - Retail,42.715,Barisal Division
4/15/2018,Rice (coarse) - Retail,41.25,Barisal Division
5/15/2018,Rice (coarse) - Retail,39.8,Barisal Division
6/15/2018,Rice (coarse) - Retail,39,Barisal Division
7/15/2018,Rice (coarse) - Retail,40.02,Barisal Division
8/15/2018,Rice (coarse) - Retail,39.93,Barisal Division
9/15/2018,Rice (coarse) - Retail,39.223,Barisal Division
10/15/2018,Rice (coarse) - Retail,36.915,Barisal Division
11/15/2018,Rice (coarse) - Retail,36.21,Barisal Division
12/15/2018,Rice (coarse) - Retail,31.8,Barisal Division
1/15/2019,Rice (coarse) - Retail,31,Barisal Division
4/15/2019,Rice (coarse) - Retail,31,Barisal Division
5/15/2019,Rice (coarse) - Retail,31,Barisal Division
6/15/2019,Rice (coarse) - Retail,29,Barisal Division
9/15/2019,Rice (coarse) - Retail,28.6333,Barisal Division
10/15/2019,Rice (coarse) - Retail,26.9,Barisal Division
11/15/2019,Rice (coarse) - Retail,28.4,Barisal Division
12/15/2019,Rice (coarse) - Retail,31,Barisal Division
1/15/2020,Rice (coarse) - Retail,32.2,Barisal Division
2/15/2020,Rice (coarse) - Retail,33.2,Barisal Division
3/15/2020,Rice (coarse) - Retail,33.3,Barisal Division
5/15/2020,Rice (coarse) - Retail,44.5,Barisal Division
6/15/2020,Rice (coarse) - Retail,42.2,Barisal Division
7/15/2020,Rice (coarse) - Retail,41,Barisal Division
8/15/2020,Rice (coarse) - Retail,42.82,Barisal
9/15/2020,Rice (coarse) - Retail,45.025,Barisal
10/15/2020,Rice (coarse) - Retail,45.5,Barisal
11/15/2020,Rice (coarse) - Retail,45.5,Barisal
5/15/2021,Rice (coarse) - Retail,41,Barisal
6/15/2021,Rice (coarse) - Retail,41,Barisal
7/15/2021,Rice (coarse) - Retail,41,Barisal
8/15/2021,Rice (coarse) - Retail,41,Barisal
