date,cmname,price,mktname
12/15/2006,Wheat flour - Retail,23,Barisal Division
1/15/2007,Wheat flour - Retail,25.5,Barisal Division
2/15/2007,Wheat flour - Retail,25.5,Barisal Division
3/15/2007,Wheat flour - Retail,26,Barisal Division
4/15/2007,Wheat flour - Retail,26,Barisal Division
5/15/2007,Wheat flour - Retail,26.5,Barisal Division
6/15/2007,Wheat flour - Retail,26.5,Barisal Division
7/15/2007,Wheat flour - Retail,27.5,Barisal Division
8/15/2007,Wheat flour - Retail,29.5,Barisal Division
9/15/2007,Wheat flour - Retail,30.5,Barisal Division
10/15/2007,Wheat flour - Retail,31.5,Barisal Division
11/15/2007,Wheat flour - Retail,38,Barisal Division
12/15/2007,Wheat flour - Retail,35.5,Barisal Division
1/15/2008,Wheat flour - Retail,39,Barisal Division
2/15/2008,Wheat flour - Retail,40,Barisal Division
3/15/2008,Wheat flour - Retail,45,Barisal Division
4/15/2008,Wheat flour - Retail,45,Barisal Division
5/15/2008,Wheat flour - Retail,43,Barisal Division
6/15/2008,Wheat flour - Retail,41,Barisal Division
7/15/2008,Wheat flour - Retail,41,Barisal Division
8/15/2008,Wheat flour - Retail,40,Barisal Division
9/15/2008,Wheat flour - Retail,40.5,Barisal Division
10/15/2008,Wheat flour - Retail,40.5,Barisal Division
11/15/2008,Wheat flour - Retail,37.5,Barisal Division
12/15/2008,Wheat flour - Retail,30.5,Barisal Division
1/15/2009,Wheat flour - Retail,27,Barisal Division
2/15/2009,Wheat flour - Retail,25.5,Barisal Division
3/15/2009,Wheat flour - Retail,24.5,Barisal Division
4/15/2009,Wheat flour - Retail,24,Barisal Division
5/15/2009,Wheat flour - Retail,22.5,Barisal Division
6/15/2009,Wheat flour - Retail,23,Barisal Division
7/15/2009,Wheat flour - Retail,21.5,Barisal Division
8/15/2009,Wheat flour - Retail,21,Barisal Division
9/15/2009,Wheat flour - Retail,21,Barisal Division
10/15/2009,Wheat flour - Retail,20,Barisal Division
11/15/2009,Wheat flour - Retail,21,Barisal Division
12/15/2009,Wheat flour - Retail,22.5,Barisal Division
1/15/2010,Wheat flour - Retail,25,Barisal Division
2/15/2010,Wheat flour - Retail,25,Barisal Division
3/15/2010,Wheat flour - Retail,24,Barisal Division
4/15/2010,Wheat flour - Retail,23.5,Barisal Division
5/15/2010,Wheat flour - Retail,23.5,Barisal Division
6/15/2010,Wheat flour - Retail,24,Barisal Division
7/15/2010,Wheat flour - Retail,24,Barisal Division
8/15/2010,Wheat flour - Retail,25,Barisal Division
9/15/2010,Wheat flour - Retail,30,Barisal Division
10/15/2010,Wheat flour - Retail,33,Barisal Division
11/15/2010,Wheat flour - Retail,31,Barisal Division
12/15/2010,Wheat flour - Retail,32,Barisal Division
1/15/2011,Wheat flour - Retail,35,Barisal Division
2/15/2011,Wheat flour - Retail,36,Barisal Division
3/15/2011,Wheat flour - Retail,34.5,Barisal Division
4/15/2011,Wheat flour - Retail,34.5,Barisal Division
5/15/2011,Wheat flour - Retail,32.75,Barisal Division
6/15/2011,Wheat flour - Retail,32.25,Barisal Division
7/15/2011,Wheat flour - Retail,31,Barisal Division
8/15/2011,Wheat flour - Retail,30.5,Barisal Division
9/15/2011,Wheat flour - Retail,31.34,Barisal Division
10/15/2011,Wheat flour - Retail,31.2727,Barisal Division
11/15/2011,Wheat flour - Retail,32,Barisal Division
12/15/2011,Wheat flour - Retail,31.7857,Barisal Division
1/15/2012,Wheat flour - Retail,32.75,Barisal Division
2/15/2012,Wheat flour - Retail,33.2,Barisal Division
3/15/2012,Wheat flour - Retail,35.4,Barisal Division
4/15/2012,Wheat flour - Retail,35.8,Barisal Division
5/15/2012,Wheat flour - Retail,34,Barisal Division
6/15/2012,Wheat flour - Retail,33.1667,Barisal Division
7/15/2012,Wheat flour - Retail,33,Barisal Division
8/15/2012,Wheat flour - Retail,32.8333,Barisal Division
9/15/2012,Wheat flour - Retail,33.8333,Barisal Division
10/15/2012,Wheat flour - Retail,35.1667,Barisal Division
11/15/2012,Wheat flour - Retail,36,Barisal Division
12/15/2012,Wheat flour - Retail,36,Barisal Division
1/15/2013,Wheat flour - Retail,32.75,Barisal Division
2/15/2013,Wheat flour - Retail,36.83,Barisal Division
3/15/2013,Wheat flour - Retail,37.17,Barisal Division
4/15/2013,Wheat flour - Retail,37,Barisal Division
5/15/2013,Wheat flour - Retail,37.33,Barisal Division
6/15/2013,Wheat flour - Retail,37,Barisal Division
7/15/2013,Wheat flour - Retail,37,Barisal Division
8/15/2013,Wheat flour - Retail,37.1667,Barisal Division
9/15/2013,Wheat flour - Retail,36.8,Barisal Division
10/15/2013,Wheat flour - Retail,35.8333,Barisal Division
11/15/2013,Wheat flour - Retail,36,Barisal Division
12/15/2013,Wheat flour - Retail,36.4,Barisal Division
1/15/2014,Wheat flour - Retail,36,Barisal Division
2/15/2014,Wheat flour - Retail,36,Barisal Division
3/15/2014,Wheat flour - Retail,35.8333,Barisal Division
4/15/2014,Wheat flour - Retail,35.67,Barisal Division
5/15/2014,Wheat flour - Retail,36,Barisal Division
6/15/2014,Wheat flour - Retail,35.8333,Barisal Division
7/15/2014,Wheat flour - Retail,36,Barisal Division
8/15/2014,Wheat flour - Retail,35.8333,Barisal Division
9/15/2014,Wheat flour - Retail,35.8,Barisal Division
10/15/2014,Wheat flour - Retail,36.2,Barisal Division
11/15/2014,Wheat flour - Retail,36,Barisal Division
12/15/2014,Wheat flour - Retail,36,Barisal Division
1/15/2015,Wheat flour - Retail,36.4,Barisal Division
2/15/2015,Wheat flour - Retail,36.2,Barisal Division
3/15/2015,Wheat flour - Retail,36.2,Barisal Division
4/15/2015,Wheat flour - Retail,36,Barisal Division
5/15/2015,Wheat flour - Retail,35,Barisal Division
6/15/2015,Wheat flour - Retail,33.75,Barisal Division
7/15/2015,Wheat flour - Retail,33,Barisal Division
8/15/2015,Wheat flour - Retail,34,Barisal Division
9/15/2015,Wheat flour - Retail,34,Barisal Division
10/15/2015,Wheat flour - Retail,33.8,Barisal Division
11/15/2015,Wheat flour - Retail,33.6,Barisal Division
12/15/2015,Wheat flour - Retail,33.6,Barisal Division
1/15/2016,Wheat flour - Retail,33.6,Barisal Division
2/15/2016,Wheat flour - Retail,33.4,Barisal Division
3/15/2016,Wheat flour - Retail,33.4,Barisal Division
4/15/2016,Wheat flour - Retail,33,Barisal Division
5/15/2016,Wheat flour - Retail,32.4,Barisal Division
6/15/2016,Wheat flour - Retail,32.5,Barisal Division
7/15/2016,Wheat flour - Retail,31.25,Barisal Division
8/15/2016,Wheat flour - Retail,31,Barisal Division
9/15/2016,Wheat flour - Retail,31.4,Barisal Division
10/15/2016,Wheat flour - Retail,32,Barisal Division
11/15/2016,Wheat flour - Retail,32.25,Barisal Division
12/15/2016,Wheat flour - Retail,32,Barisal Division
1/15/2017,Wheat flour - Retail,33,Barisal Division
2/15/2017,Wheat flour - Retail,31,Barisal Division
3/15/2017,Wheat flour - Retail,31,Barisal Division
4/15/2017,Wheat flour - Retail,31,Barisal Division
5/15/2017,Wheat flour - Retail,31,Barisal Division
8/15/2017,Wheat flour - Retail,30.556,Barisal Division
9/15/2017,Wheat flour - Retail,32.298,Barisal Division
10/15/2017,Wheat flour - Retail,31.728,Barisal Division
11/15/2017,Wheat flour - Retail,31,Barisal Division
