date,cmname,price,mktname
10/15/2005,Lentils (masur) - Retail,45,Chittagong Division
11/15/2005,Lentils (masur) - Retail,43,Chittagong Division
12/15/2005,Lentils (masur) - Retail,43,Chittagong Division
1/15/2006,Lentils (masur) - Retail,43,Chittagong Division
2/15/2006,Lentils (masur) - Retail,43.5,Chittagong Division
3/15/2006,Lentils (masur) - Retail,43.5,Chittagong Division
4/15/2006,Lentils (masur) - Retail,44,Chittagong Division
5/15/2006,Lentils (masur) - Retail,47,Chittagong Division
6/15/2006,Lentils (masur) - Retail,48,Chittagong Division
7/15/2006,Lentils (masur) - Retail,48.5,Chittagong Division
8/15/2006,Lentils (masur) - Retail,47,Chittagong Division
9/15/2006,Lentils (masur) - Retail,48,Chittagong Division
10/15/2006,Lentils (masur) - Retail,48,Chittagong Division
11/15/2006,Lentils (masur) - Retail,47,Chittagong Division
12/15/2006,Lentils (masur) - Retail,53,Chittagong Division
1/15/2007,Lentils (masur) - Retail,53,Chittagong Division
2/15/2007,Lentils (masur) - Retail,53,Chittagong Division
3/15/2007,Lentils (masur) - Retail,51,Chittagong Division
4/15/2007,Lentils (masur) - Retail,57,Chittagong Division
5/15/2007,Lentils (masur) - Retail,57,Chittagong Division
6/15/2007,Lentils (masur) - Retail,57,Chittagong Division
7/15/2007,Lentils (masur) - Retail,57,Chittagong Division
8/15/2007,Lentils (masur) - Retail,63.5,Chittagong Division
9/15/2007,Lentils (masur) - Retail,62.25,Chittagong Division
10/15/2007,Lentils (masur) - Retail,62.3333,Chittagong Division
11/15/2007,Lentils (masur) - Retail,64,Chittagong Division
12/15/2007,Lentils (masur) - Retail,63.6667,Chittagong Division
1/15/2008,Lentils (masur) - Retail,66,Chittagong Division
2/15/2008,Lentils (masur) - Retail,68.3333,Chittagong Division
3/15/2008,Lentils (masur) - Retail,73,Chittagong Division
4/15/2008,Lentils (masur) - Retail,71,Chittagong Division
5/15/2008,Lentils (masur) - Retail,73,Chittagong Division
6/15/2008,Lentils (masur) - Retail,76,Chittagong Division
7/15/2008,Lentils (masur) - Retail,90,Chittagong Division
8/15/2008,Lentils (masur) - Retail,93,Chittagong Division
9/15/2008,Lentils (masur) - Retail,88.3333,Chittagong Division
10/15/2008,Lentils (masur) - Retail,86,Chittagong Division
11/15/2008,Lentils (masur) - Retail,84,Chittagong Division
12/15/2008,Lentils (masur) - Retail,83,Chittagong Division
1/15/2009,Lentils (masur) - Retail,81.5,Chittagong Division
2/15/2009,Lentils (masur) - Retail,80,Chittagong Division
3/15/2009,Lentils (masur) - Retail,81,Chittagong Division
4/15/2009,Lentils (masur) - Retail,79.6667,Chittagong Division
5/15/2009,Lentils (masur) - Retail,84.5,Chittagong Division
6/15/2009,Lentils (masur) - Retail,84.5,Chittagong Division
7/15/2009,Lentils (masur) - Retail,86.3333,Chittagong Division
8/15/2009,Lentils (masur) - Retail,90.5,Chittagong Division
9/15/2009,Lentils (masur) - Retail,106.75,Chittagong Division
10/15/2009,Lentils (masur) - Retail,159.25,Chittagong Division
11/15/2009,Lentils (masur) - Retail,93.25,Chittagong Division
12/15/2009,Lentils (masur) - Retail,93.75,Chittagong Division
1/15/2010,Lentils (masur) - Retail,93,Chittagong Division
2/15/2010,Lentils (masur) - Retail,90,Chittagong Division
3/15/2010,Lentils (masur) - Retail,86,Chittagong Division
4/15/2010,Lentils (masur) - Retail,82,Chittagong Division
5/15/2010,Lentils (masur) - Retail,81,Chittagong Division
6/15/2010,Lentils (masur) - Retail,83,Chittagong Division
7/15/2010,Lentils (masur) - Retail,86,Chittagong Division
8/15/2010,Lentils (masur) - Retail,86,Chittagong Division
9/15/2010,Lentils (masur) - Retail,88,Chittagong Division
10/15/2010,Lentils (masur) - Retail,84,Chittagong Division
11/15/2010,Lentils (masur) - Retail,82,Chittagong Division
12/15/2010,Lentils (masur) - Retail,84,Chittagong Division
1/15/2011,Lentils (masur) - Retail,83.25,Chittagong Division
2/15/2011,Lentils (masur) - Retail,83.25,Chittagong Division
3/15/2011,Lentils (masur) - Retail,82.8,Chittagong Division
4/15/2011,Lentils (masur) - Retail,82.25,Chittagong Division
5/15/2011,Lentils (masur) - Retail,78,Chittagong Division
6/15/2011,Lentils (masur) - Retail,79.6,Chittagong Division
7/15/2011,Lentils (masur) - Retail,76.86,Chittagong Division
8/15/2011,Lentils (masur) - Retail,76.29,Chittagong Division
9/15/2011,Lentils (masur) - Retail,76.56,Chittagong Division
10/15/2011,Lentils (masur) - Retail,75.875,Chittagong Division
11/15/2011,Lentils (masur) - Retail,72.875,Chittagong Division
12/15/2011,Lentils (masur) - Retail,72.7083,Chittagong Division
1/15/2012,Lentils (masur) - Retail,69,Chittagong Division
2/15/2012,Lentils (masur) - Retail,74.5,Chittagong Division
3/15/2012,Lentils (masur) - Retail,70.2,Chittagong Division
4/15/2012,Lentils (masur) - Retail,74.5556,Chittagong Division
5/15/2012,Lentils (masur) - Retail,77.8889,Chittagong Division
6/15/2012,Lentils (masur) - Retail,77.5556,Chittagong Division
7/15/2012,Lentils (masur) - Retail,80.8889,Chittagong Division
8/15/2012,Lentils (masur) - Retail,81,Chittagong Division
9/15/2012,Lentils (masur) - Retail,81.875,Chittagong Division
10/15/2012,Lentils (masur) - Retail,82.875,Chittagong Division
11/15/2012,Lentils (masur) - Retail,87.4444,Chittagong Division
12/15/2012,Lentils (masur) - Retail,87.44,Chittagong Division
1/15/2013,Lentils (masur) - Retail,85.22,Chittagong Division
2/15/2013,Lentils (masur) - Retail,80.44,Chittagong Division
3/15/2013,Lentils (masur) - Retail,81.67,Chittagong Division
4/15/2013,Lentils (masur) - Retail,82.43,Chittagong Division
5/15/2013,Lentils (masur) - Retail,80.44,Chittagong Division
6/15/2013,Lentils (masur) - Retail,81.4444,Chittagong Division
7/15/2013,Lentils (masur) - Retail,81,Chittagong Division
8/15/2013,Lentils (masur) - Retail,80.5,Chittagong Division
9/15/2013,Lentils (masur) - Retail,81.8889,Chittagong Division
