date,cmname,price,mktname
10/15/2005,Rice (coarse) - Retail,21,Chittagong Division
11/15/2005,Rice (coarse) - Retail,21,Chittagong Division
12/15/2005,Rice (coarse) - Retail,21,Chittagong Division
1/15/2006,Rice (coarse) - Retail,16,Chittagong Division
2/15/2006,Rice (coarse) - Retail,17,Chittagong Division
3/15/2006,Rice (coarse) - Retail,17,Chittagong Division
4/15/2006,Rice (coarse) - Retail,17,Chittagong Division
5/15/2006,Rice (coarse) - Retail,17,Chittagong Division
6/15/2006,Rice (coarse) - Retail,17,Chittagong Division
7/15/2006,Rice (coarse) - Retail,17,Chittagong Division
8/15/2006,Rice (coarse) - Retail,17,Chittagong Division
9/15/2006,Rice (coarse) - Retail,17,Chittagong Division
10/15/2006,Rice (coarse) - Retail,17,Chittagong Division
11/15/2006,Rice (coarse) - Retail,17.5,Chittagong Division
12/15/2006,Rice (coarse) - Retail,18,Chittagong Division
1/15/2007,Rice (coarse) - Retail,18,Chittagong Division
2/15/2007,Rice (coarse) - Retail,18.5,Chittagong Division
3/15/2007,Rice (coarse) - Retail,19,Chittagong Division
4/15/2007,Rice (coarse) - Retail,20.5,Chittagong Division
5/15/2007,Rice (coarse) - Retail,21,Chittagong Division
6/15/2007,Rice (coarse) - Retail,21,Chittagong Division
7/15/2007,Rice (coarse) - Retail,20.5,Chittagong Division
8/15/2007,Rice (coarse) - Retail,21.5,Chittagong Division
9/15/2007,Rice (coarse) - Retail,22.75,Chittagong Division
10/15/2007,Rice (coarse) - Retail,22.6667,Chittagong Division
11/15/2007,Rice (coarse) - Retail,23.6667,Chittagong Division
12/15/2007,Rice (coarse) - Retail,25.6667,Chittagong Division
1/15/2008,Rice (coarse) - Retail,28.6667,Chittagong Division
2/15/2008,Rice (coarse) - Retail,28,Chittagong Division
3/15/2008,Rice (coarse) - Retail,30.5,Chittagong Division
4/15/2008,Rice (coarse) - Retail,28,Chittagong Division
5/15/2008,Rice (coarse) - Retail,27,Chittagong Division
6/15/2008,Rice (coarse) - Retail,29,Chittagong Division
7/15/2008,Rice (coarse) - Retail,32.3333,Chittagong Division
8/15/2008,Rice (coarse) - Retail,33.5,Chittagong Division
9/15/2008,Rice (coarse) - Retail,33,Chittagong Division
10/15/2008,Rice (coarse) - Retail,31.6667,Chittagong Division
11/15/2008,Rice (coarse) - Retail,28.3333,Chittagong Division
12/15/2008,Rice (coarse) - Retail,27,Chittagong Division
1/15/2009,Rice (coarse) - Retail,24,Chittagong Division
2/15/2009,Rice (coarse) - Retail,23.3333,Chittagong Division
3/15/2009,Rice (coarse) - Retail,22,Chittagong Division
4/15/2009,Rice (coarse) - Retail,19,Chittagong Division
5/15/2009,Rice (coarse) - Retail,19,Chittagong Division
6/15/2009,Rice (coarse) - Retail,19,Chittagong Division
7/15/2009,Rice (coarse) - Retail,18,Chittagong Division
8/15/2009,Rice (coarse) - Retail,18,Chittagong Division
9/15/2009,Rice (coarse) - Retail,19,Chittagong Division
10/15/2009,Rice (coarse) - Retail,20.3333,Chittagong Division
11/15/2009,Rice (coarse) - Retail,21,Chittagong Division
12/15/2009,Rice (coarse) - Retail,22.6667,Chittagong Division
1/15/2010,Rice (coarse) - Retail,25,Chittagong Division
2/15/2010,Rice (coarse) - Retail,27,Chittagong Division
3/15/2010,Rice (coarse) - Retail,26,Chittagong Division
4/15/2010,Rice (coarse) - Retail,26,Chittagong Division
5/15/2010,Rice (coarse) - Retail,26,Chittagong Division
6/15/2010,Rice (coarse) - Retail,27,Chittagong Division
7/15/2010,Rice (coarse) - Retail,28,Chittagong Division
8/15/2010,Rice (coarse) - Retail,28,Chittagong Division
9/15/2010,Rice (coarse) - Retail,30,Chittagong Division
10/15/2010,Rice (coarse) - Retail,31.3333,Chittagong Division
11/15/2010,Rice (coarse) - Retail,31.3333,Chittagong Division
12/15/2010,Rice (coarse) - Retail,31,Chittagong Division
