date,cmname,price,mktname
1/15/2006,Wheat flour - Retail,21,Chittagong Division
2/15/2006,Wheat flour - Retail,21,Chittagong Division
3/15/2006,Wheat flour - Retail,21.5,Chittagong Division
4/15/2006,Wheat flour - Retail,21.5,Chittagong Division
5/15/2006,Wheat flour - Retail,21.5,Chittagong Division
6/15/2006,Wheat flour - Retail,22,Chittagong Division
7/15/2006,Wheat flour - Retail,22,Chittagong Division
8/15/2006,Wheat flour - Retail,22,Chittagong Division
9/15/2006,Wheat flour - Retail,21.5,Chittagong Division
10/15/2006,Wheat flour - Retail,21.6667,Chittagong Division
11/15/2006,Wheat flour - Retail,23.6667,Chittagong Division
12/15/2006,Wheat flour - Retail,26,Chittagong Division
1/15/2007,Wheat flour - Retail,26.3333,Chittagong Division
2/15/2007,Wheat flour - Retail,26.3333,Chittagong Division
3/15/2007,Wheat flour - Retail,26.6667,Chittagong Division
4/15/2007,Wheat flour - Retail,27,Chittagong Division
5/15/2007,Wheat flour - Retail,27,Chittagong Division
6/15/2007,Wheat flour - Retail,27,Chittagong Division
7/15/2007,Wheat flour - Retail,28,Chittagong Division
8/15/2007,Wheat flour - Retail,31,Chittagong Division
9/15/2007,Wheat flour - Retail,32,Chittagong Division
10/15/2007,Wheat flour - Retail,33.3333,Chittagong Division
11/15/2007,Wheat flour - Retail,37,Chittagong Division
12/15/2007,Wheat flour - Retail,37.6667,Chittagong Division
1/15/2008,Wheat flour - Retail,40.75,Chittagong Division
2/15/2008,Wheat flour - Retail,42.3333,Chittagong Division
3/15/2008,Wheat flour - Retail,44,Chittagong Division
4/15/2008,Wheat flour - Retail,44.5,Chittagong Division
5/15/2008,Wheat flour - Retail,44,Chittagong Division
6/15/2008,Wheat flour - Retail,43,Chittagong Division
7/15/2008,Wheat flour - Retail,42.3333,Chittagong Division
8/15/2008,Wheat flour - Retail,41.5,Chittagong Division
9/15/2008,Wheat flour - Retail,40.25,Chittagong Division
10/15/2008,Wheat flour - Retail,39.25,Chittagong Division
11/15/2008,Wheat flour - Retail,36.75,Chittagong Division
12/15/2008,Wheat flour - Retail,33.25,Chittagong Division
1/15/2009,Wheat flour - Retail,27,Chittagong Division
2/15/2009,Wheat flour - Retail,26.25,Chittagong Division
3/15/2009,Wheat flour - Retail,26,Chittagong Division
4/15/2009,Wheat flour - Retail,24.3333,Chittagong Division
5/15/2009,Wheat flour - Retail,25.5,Chittagong Division
6/15/2009,Wheat flour - Retail,23.3333,Chittagong Division
7/15/2009,Wheat flour - Retail,22.3333,Chittagong Division
8/15/2009,Wheat flour - Retail,22.3333,Chittagong Division
9/15/2009,Wheat flour - Retail,22.25,Chittagong Division
10/15/2009,Wheat flour - Retail,22,Chittagong Division
