date,cmname,price,mktname
10/15/2005,Lentils (masur) - Retail,46,Dhaka Division
1/15/2006,Lentils (masur) - Retail,46,Dhaka Division
2/15/2006,Lentils (masur) - Retail,45,Dhaka Division
3/15/2006,Lentils (masur) - Retail,46,Dhaka Division
4/15/2006,Lentils (masur) - Retail,49,Dhaka Division
5/15/2006,Lentils (masur) - Retail,51.6667,Dhaka Division
6/15/2006,Lentils (masur) - Retail,52,Dhaka Division
7/15/2006,Lentils (masur) - Retail,54,Dhaka Division
8/15/2006,Lentils (masur) - Retail,55,Dhaka Division
9/15/2006,Lentils (masur) - Retail,53.5,Dhaka Division
10/15/2006,Lentils (masur) - Retail,52,Dhaka Division
11/15/2006,Lentils (masur) - Retail,54.3333,Dhaka Division
12/15/2006,Lentils (masur) - Retail,54.6667,Dhaka Division
1/15/2007,Lentils (masur) - Retail,54.6667,Dhaka Division
2/15/2007,Lentils (masur) - Retail,53.3333,Dhaka Division
3/15/2007,Lentils (masur) - Retail,53.75,Dhaka Division
4/15/2007,Lentils (masur) - Retail,54.5,Dhaka Division
5/15/2007,Lentils (masur) - Retail,55.8,Dhaka Division
6/15/2007,Lentils (masur) - Retail,56.4,Dhaka Division
7/15/2007,Lentils (masur) - Retail,58.25,Dhaka Division
8/15/2007,Lentils (masur) - Retail,61,Dhaka Division
9/15/2007,Lentils (masur) - Retail,62,Dhaka Division
10/15/2007,Lentils (masur) - Retail,62.6667,Dhaka Division
11/15/2007,Lentils (masur) - Retail,64.6667,Dhaka Division
12/15/2007,Lentils (masur) - Retail,64.3333,Dhaka Division
1/15/2008,Lentils (masur) - Retail,65.5,Dhaka Division
2/15/2008,Lentils (masur) - Retail,66.4,Dhaka Division
3/15/2008,Lentils (masur) - Retail,75.2,Dhaka Division
4/15/2008,Lentils (masur) - Retail,79.2,Dhaka Division
5/15/2008,Lentils (masur) - Retail,80.6,Dhaka Division
6/15/2008,Lentils (masur) - Retail,81.5,Dhaka Division
7/15/2008,Lentils (masur) - Retail,88.25,Dhaka Division
8/15/2008,Lentils (masur) - Retail,88.8333,Dhaka Division
9/15/2008,Lentils (masur) - Retail,88.4286,Dhaka Division
10/15/2008,Lentils (masur) - Retail,88,Dhaka Division
11/15/2008,Lentils (masur) - Retail,85.8333,Dhaka Division
12/15/2008,Lentils (masur) - Retail,83.6667,Dhaka Division
1/15/2009,Lentils (masur) - Retail,78.2,Dhaka Division
2/15/2009,Lentils (masur) - Retail,77.25,Dhaka Division
3/15/2009,Lentils (masur) - Retail,76.5,Dhaka Division
4/15/2009,Lentils (masur) - Retail,81.75,Dhaka Division
5/15/2009,Lentils (masur) - Retail,86,Dhaka Division
6/15/2009,Lentils (masur) - Retail,86.6667,Dhaka Division
7/15/2009,Lentils (masur) - Retail,90.25,Dhaka Division
8/15/2009,Lentils (masur) - Retail,94.8,Dhaka Division
9/15/2009,Lentils (masur) - Retail,98.8,Dhaka Division
10/15/2009,Lentils (masur) - Retail,96,Dhaka Division
11/15/2009,Lentils (masur) - Retail,91.5714,Dhaka Division
12/15/2009,Lentils (masur) - Retail,93.1111,Dhaka Division
1/15/2010,Lentils (masur) - Retail,96,Dhaka Division
2/15/2010,Lentils (masur) - Retail,91,Dhaka Division
3/15/2010,Lentils (masur) - Retail,84,Dhaka Division
4/15/2010,Lentils (masur) - Retail,83.1111,Dhaka Division
5/15/2010,Lentils (masur) - Retail,84.625,Dhaka Division
6/15/2010,Lentils (masur) - Retail,85.875,Dhaka Division
7/15/2010,Lentils (masur) - Retail,86.5714,Dhaka Division
8/15/2010,Lentils (masur) - Retail,84,Dhaka Division
9/15/2010,Lentils (masur) - Retail,83.4286,Dhaka Division
10/15/2010,Lentils (masur) - Retail,83.7143,Dhaka Division
11/15/2010,Lentils (masur) - Retail,96,Dhaka Division
12/15/2010,Lentils (masur) - Retail,100,Dhaka Division
1/15/2011,Lentils (masur) - Retail,81.33,Dhaka Division
2/15/2011,Lentils (masur) - Retail,81.7,Dhaka Division
3/15/2011,Lentils (masur) - Retail,79.1111,Dhaka Division
4/15/2011,Lentils (masur) - Retail,77.625,Dhaka Division
5/15/2011,Lentils (masur) - Retail,74.66,Dhaka Division
6/15/2011,Lentils (masur) - Retail,75.1429,Dhaka Division
7/15/2011,Lentils (masur) - Retail,76.5,Dhaka Division
8/15/2011,Lentils (masur) - Retail,77.5,Dhaka Division
9/15/2011,Lentils (masur) - Retail,77.9,Dhaka Division
10/15/2011,Lentils (masur) - Retail,75.9167,Dhaka Division
11/15/2011,Lentils (masur) - Retail,72.875,Dhaka Division
12/15/2011,Lentils (masur) - Retail,71.6818,Dhaka Division
1/15/2012,Lentils (masur) - Retail,74.8182,Dhaka Division
2/15/2012,Lentils (masur) - Retail,73.4545,Dhaka Division
3/15/2012,Lentils (masur) - Retail,75,Dhaka Division
4/15/2012,Lentils (masur) - Retail,74.8333,Dhaka Division
5/15/2012,Lentils (masur) - Retail,83.4167,Dhaka Division
