date,cmname,price,mktname
1/15/2004,Rice (coarse) - Retail,14,Dhaka Division
2/15/2004,Rice (coarse) - Retail,14,Dhaka Division
3/15/2004,Rice (coarse) - Retail,14,Dhaka Division
4/15/2004,Rice (coarse) - Retail,14,Dhaka Division
5/15/2004,Rice (coarse) - Retail,14,Dhaka Division
6/15/2004,Rice (coarse) - Retail,14,Dhaka Division
7/15/2004,Rice (coarse) - Retail,14.5,Dhaka Division
8/15/2004,Rice (coarse) - Retail,15,Dhaka Division
9/15/2004,Rice (coarse) - Retail,14,Dhaka Division
10/15/2004,Rice (coarse) - Retail,15,Dhaka Division
11/15/2004,Rice (coarse) - Retail,16.15,Dhaka Division
12/15/2004,Rice (coarse) - Retail,17.25,Dhaka Division
1/15/2005,Rice (coarse) - Retail,17,Dhaka Division
2/15/2005,Rice (coarse) - Retail,17,Dhaka Division
3/15/2005,Rice (coarse) - Retail,16,Dhaka Division
4/15/2005,Rice (coarse) - Retail,16,Dhaka Division
5/15/2005,Rice (coarse) - Retail,15,Dhaka Division
6/15/2005,Rice (coarse) - Retail,16,Dhaka Division
7/15/2005,Rice (coarse) - Retail,16,Dhaka Division
8/15/2005,Rice (coarse) - Retail,16,Dhaka Division
9/15/2005,Rice (coarse) - Retail,16,Dhaka Division
10/15/2005,Rice (coarse) - Retail,16.14,Dhaka Division
11/15/2005,Rice (coarse) - Retail,16.82,Dhaka Division
12/15/2005,Rice (coarse) - Retail,17,Dhaka Division
1/15/2006,Rice (coarse) - Retail,16.3333,Dhaka Division
2/15/2006,Rice (coarse) - Retail,16.3333,Dhaka Division
3/15/2006,Rice (coarse) - Retail,17,Dhaka Division
4/15/2006,Rice (coarse) - Retail,17.3333,Dhaka Division
5/15/2006,Rice (coarse) - Retail,16,Dhaka Division
6/15/2006,Rice (coarse) - Retail,16,Dhaka Division
7/15/2006,Rice (coarse) - Retail,17,Dhaka Division
8/15/2006,Rice (coarse) - Retail,16.6667,Dhaka Division
9/15/2006,Rice (coarse) - Retail,17,Dhaka Division
10/15/2006,Rice (coarse) - Retail,17.5,Dhaka Division
11/15/2006,Rice (coarse) - Retail,17.5,Dhaka Division
12/15/2006,Rice (coarse) - Retail,17.75,Dhaka Division
1/15/2007,Rice (coarse) - Retail,17.8,Dhaka Division
2/15/2007,Rice (coarse) - Retail,18.4,Dhaka Division
3/15/2007,Rice (coarse) - Retail,19.6,Dhaka Division
4/15/2007,Rice (coarse) - Retail,20.3333,Dhaka Division
5/15/2007,Rice (coarse) - Retail,19.3333,Dhaka Division
6/15/2007,Rice (coarse) - Retail,19,Dhaka Division
7/15/2007,Rice (coarse) - Retail,19,Dhaka Division
8/15/2007,Rice (coarse) - Retail,21.2,Dhaka Division
9/15/2007,Rice (coarse) - Retail,21.8333,Dhaka Division
10/15/2007,Rice (coarse) - Retail,22.3333,Dhaka Division
11/15/2007,Rice (coarse) - Retail,23.1667,Dhaka Division
12/15/2007,Rice (coarse) - Retail,24.75,Dhaka Division
1/15/2008,Rice (coarse) - Retail,29.1429,Dhaka Division
2/15/2008,Rice (coarse) - Retail,29.5714,Dhaka Division
3/15/2008,Rice (coarse) - Retail,31.3333,Dhaka Division
4/15/2008,Rice (coarse) - Retail,33.8,Dhaka Division
5/15/2008,Rice (coarse) - Retail,29.2857,Dhaka Division
6/15/2008,Rice (coarse) - Retail,30.125,Dhaka Division
7/15/2008,Rice (coarse) - Retail,33,Dhaka Division
8/15/2008,Rice (coarse) - Retail,33.6667,Dhaka Division
9/15/2008,Rice (coarse) - Retail,31.3,Dhaka Division
10/15/2008,Rice (coarse) - Retail,31,Dhaka Division
11/15/2008,Rice (coarse) - Retail,28.125,Dhaka Division
12/15/2008,Rice (coarse) - Retail,27.375,Dhaka Division
1/15/2009,Rice (coarse) - Retail,24.8,Dhaka Division
