date,cmname,price,mktname
11/15/2005,Wheat flour - Retail,20,Dhaka Division
12/15/2005,Wheat flour - Retail,20,Dhaka Division
1/15/2006,Wheat flour - Retail,20,Dhaka Division
2/15/2006,Wheat flour - Retail,20,Dhaka Division
3/15/2006,Wheat flour - Retail,21.5,Dhaka Division
4/15/2006,Wheat flour - Retail,21.75,Dhaka Division
5/15/2006,Wheat flour - Retail,21.25,Dhaka Division
6/15/2006,Wheat flour - Retail,21.3333,Dhaka Division
7/15/2006,Wheat flour - Retail,21.4,Dhaka Division
8/15/2006,Wheat flour - Retail,21.4,Dhaka Division
9/15/2006,Wheat flour - Retail,21.6,Dhaka Division
10/15/2006,Wheat flour - Retail,22.2,Dhaka Division
11/15/2006,Wheat flour - Retail,24.2,Dhaka Division
12/15/2006,Wheat flour - Retail,26,Dhaka Division
1/15/2007,Wheat flour - Retail,26,Dhaka Division
2/15/2007,Wheat flour - Retail,26.2,Dhaka Division
3/15/2007,Wheat flour - Retail,26.4286,Dhaka Division
4/15/2007,Wheat flour - Retail,26.25,Dhaka Division
5/15/2007,Wheat flour - Retail,26.25,Dhaka Division
6/15/2007,Wheat flour - Retail,26.2222,Dhaka Division
7/15/2007,Wheat flour - Retail,27.3333,Dhaka Division
8/15/2007,Wheat flour - Retail,30.375,Dhaka Division
9/15/2007,Wheat flour - Retail,31.5556,Dhaka Division
10/15/2007,Wheat flour - Retail,33.9,Dhaka Division
11/15/2007,Wheat flour - Retail,37.7,Dhaka Division
12/15/2007,Wheat flour - Retail,37.6667,Dhaka Division
1/15/2008,Wheat flour - Retail,40,Dhaka Division
2/15/2008,Wheat flour - Retail,42,Dhaka Division
3/15/2008,Wheat flour - Retail,44,Dhaka Division
4/15/2008,Wheat flour - Retail,44,Dhaka Division
5/15/2008,Wheat flour - Retail,43,Dhaka Division
6/15/2008,Wheat flour - Retail,41,Dhaka Division
7/15/2008,Wheat flour - Retail,41,Dhaka Division
8/15/2008,Wheat flour - Retail,40,Dhaka Division
9/15/2008,Wheat flour - Retail,39,Dhaka Division
10/15/2008,Wheat flour - Retail,38,Dhaka Division
11/15/2008,Wheat flour - Retail,35,Dhaka Division
12/15/2008,Wheat flour - Retail,30,Dhaka Division
1/15/2009,Wheat flour - Retail,26.7,Dhaka Division
2/15/2009,Wheat flour - Retail,25.875,Dhaka Division
3/15/2009,Wheat flour - Retail,25.125,Dhaka Division
4/15/2009,Wheat flour - Retail,23.8571,Dhaka Division
5/15/2009,Wheat flour - Retail,22.2857,Dhaka Division
6/15/2009,Wheat flour - Retail,21.5,Dhaka Division
7/15/2009,Wheat flour - Retail,21.7143,Dhaka Division
8/15/2009,Wheat flour - Retail,21.875,Dhaka Division
9/15/2009,Wheat flour - Retail,21.75,Dhaka Division
10/15/2009,Wheat flour - Retail,21.8889,Dhaka Division
11/15/2009,Wheat flour - Retail,21.8889,Dhaka Division
12/15/2009,Wheat flour - Retail,22.6667,Dhaka Division
1/15/2010,Wheat flour - Retail,25,Dhaka Division
2/15/2010,Wheat flour - Retail,25,Dhaka Division
3/15/2010,Wheat flour - Retail,25,Dhaka Division
4/15/2010,Wheat flour - Retail,24.25,Dhaka Division
5/15/2010,Wheat flour - Retail,24.2857,Dhaka Division
6/15/2010,Wheat flour - Retail,24.5,Dhaka Division
7/15/2010,Wheat flour - Retail,24.25,Dhaka Division
8/15/2010,Wheat flour - Retail,26,Dhaka Division
9/15/2010,Wheat flour - Retail,30.2857,Dhaka Division
10/15/2010,Wheat flour - Retail,32.5714,Dhaka Division
11/15/2010,Wheat flour - Retail,32.57,Dhaka Division
12/15/2010,Wheat flour - Retail,33.14,Dhaka Division
1/15/2011,Wheat flour - Retail,35.22,Dhaka Division
2/15/2011,Wheat flour - Retail,35.8,Dhaka Division
3/15/2011,Wheat flour - Retail,35.5556,Dhaka Division
4/15/2011,Wheat flour - Retail,34.6,Dhaka Division
5/15/2011,Wheat flour - Retail,32.84,Dhaka Division
6/15/2011,Wheat flour - Retail,31.4444,Dhaka Division
7/15/2011,Wheat flour - Retail,31.0909,Dhaka Division
8/15/2011,Wheat flour - Retail,30.8571,Dhaka Division
9/15/2011,Wheat flour - Retail,31.54,Dhaka Division
10/15/2011,Wheat flour - Retail,32,Dhaka Division
11/15/2011,Wheat flour - Retail,31.9286,Dhaka Division
12/15/2011,Wheat flour - Retail,32.5238,Dhaka Division
1/15/2012,Wheat flour - Retail,32.4667,Dhaka Division
