date,cmname,price,mktname
1/15/2006,Lentils (masur) - Retail,43,Khulna Division
2/15/2006,Lentils (masur) - Retail,43,Khulna Division
3/15/2006,Lentils (masur) - Retail,47,Khulna Division
4/15/2006,Lentils (masur) - Retail,49,Khulna Division
5/15/2006,Lentils (masur) - Retail,52,Khulna Division
6/15/2006,Lentils (masur) - Retail,52,Khulna Division
7/15/2006,Lentils (masur) - Retail,56,Khulna Division
8/15/2006,Lentils (masur) - Retail,57,Khulna Division
9/15/2006,Lentils (masur) - Retail,58,Khulna Division
10/15/2006,Lentils (masur) - Retail,47,Khulna Division
11/15/2006,Lentils (masur) - Retail,54,Khulna Division
12/15/2006,Lentils (masur) - Retail,53,Khulna Division
1/15/2007,Lentils (masur) - Retail,50.5,Khulna Division
2/15/2007,Lentils (masur) - Retail,49.3333,Khulna Division
3/15/2007,Lentils (masur) - Retail,50,Khulna Division
4/15/2007,Lentils (masur) - Retail,50.8333,Khulna Division
5/15/2007,Lentils (masur) - Retail,53.6667,Khulna Division
6/15/2007,Lentils (masur) - Retail,56.8,Khulna Division
7/15/2007,Lentils (masur) - Retail,57.8333,Khulna Division
8/15/2007,Lentils (masur) - Retail,59.6667,Khulna Division
9/15/2007,Lentils (masur) - Retail,61.2,Khulna Division
10/15/2007,Lentils (masur) - Retail,61,Khulna Division
11/15/2007,Lentils (masur) - Retail,62,Khulna Division
12/15/2007,Lentils (masur) - Retail,61,Khulna Division
1/15/2008,Lentils (masur) - Retail,61.3333,Khulna Division
2/15/2008,Lentils (masur) - Retail,62.3333,Khulna Division
3/15/2008,Lentils (masur) - Retail,72,Khulna Division
4/15/2008,Lentils (masur) - Retail,75.25,Khulna Division
5/15/2008,Lentils (masur) - Retail,76.8,Khulna Division
6/15/2008,Lentils (masur) - Retail,77,Khulna Division
7/15/2008,Lentils (masur) - Retail,83.4,Khulna Division
8/15/2008,Lentils (masur) - Retail,85.8,Khulna Division
9/15/2008,Lentils (masur) - Retail,87.1667,Khulna Division
10/15/2008,Lentils (masur) - Retail,87.6667,Khulna Division
11/15/2008,Lentils (masur) - Retail,87.1667,Khulna Division
12/15/2008,Lentils (masur) - Retail,84.6667,Khulna Division
1/15/2009,Lentils (masur) - Retail,77.6,Khulna Division
2/15/2009,Lentils (masur) - Retail,78.1667,Khulna Division
3/15/2009,Lentils (masur) - Retail,78.5,Khulna Division
4/15/2009,Lentils (masur) - Retail,80,Khulna Division
5/15/2009,Lentils (masur) - Retail,83.6,Khulna Division
6/15/2009,Lentils (masur) - Retail,85.2,Khulna Division
7/15/2009,Lentils (masur) - Retail,87.3333,Khulna Division
8/15/2009,Lentils (masur) - Retail,97,Khulna Division
9/15/2009,Lentils (masur) - Retail,99,Khulna Division
10/15/2009,Lentils (masur) - Retail,93.6667,Khulna Division
11/15/2009,Lentils (masur) - Retail,91.2,Khulna Division
12/15/2009,Lentils (masur) - Retail,88.3333,Khulna Division
1/15/2010,Lentils (masur) - Retail,89,Khulna Division
2/15/2010,Lentils (masur) - Retail,86,Khulna Division
3/15/2010,Lentils (masur) - Retail,83,Khulna Division
4/15/2010,Lentils (masur) - Retail,77.6667,Khulna Division
5/15/2010,Lentils (masur) - Retail,77.6667,Khulna Division
6/15/2010,Lentils (masur) - Retail,81,Khulna Division
7/15/2010,Lentils (masur) - Retail,83,Khulna Division
8/15/2010,Lentils (masur) - Retail,81.3333,Khulna Division
9/15/2010,Lentils (masur) - Retail,79.3333,Khulna Division
10/15/2010,Lentils (masur) - Retail,83.75,Khulna Division
11/15/2010,Lentils (masur) - Retail,83,Khulna Division
12/15/2010,Lentils (masur) - Retail,77,Khulna Division
1/15/2011,Lentils (masur) - Retail,82,Khulna Division
3/15/2011,Lentils (masur) - Retail,76.125,Khulna Division
4/15/2011,Lentils (masur) - Retail,72.67,Khulna Division
5/15/2011,Lentils (masur) - Retail,74.33,Khulna Division
6/15/2011,Lentils (masur) - Retail,74.3333,Khulna Division
7/15/2011,Lentils (masur) - Retail,71.6667,Khulna Division
8/15/2011,Lentils (masur) - Retail,74.13,Khulna Division
9/15/2011,Lentils (masur) - Retail,75.89,Khulna Division
10/15/2011,Lentils (masur) - Retail,75.875,Khulna Division
11/15/2011,Lentils (masur) - Retail,75,Khulna Division
12/15/2011,Lentils (masur) - Retail,71.75,Khulna Division
1/15/2012,Lentils (masur) - Retail,71.5,Khulna Division
2/15/2012,Lentils (masur) - Retail,71.4286,Khulna Division
3/15/2012,Lentils (masur) - Retail,70,Khulna Division
4/15/2012,Lentils (masur) - Retail,71.8571,Khulna Division
5/15/2012,Lentils (masur) - Retail,77.2857,Khulna Division
6/15/2012,Lentils (masur) - Retail,78,Khulna Division
7/15/2012,Lentils (masur) - Retail,80.5714,Khulna Division
8/15/2012,Lentils (masur) - Retail,81.4286,Khulna Division
9/15/2012,Lentils (masur) - Retail,82.2857,Khulna Division
10/15/2012,Lentils (masur) - Retail,82,Khulna Division
11/15/2012,Lentils (masur) - Retail,83.2857,Khulna Division
12/15/2012,Lentils (masur) - Retail,83.29,Khulna Division
1/15/2013,Lentils (masur) - Retail,84.85,Khulna Division
2/15/2013,Lentils (masur) - Retail,85.57,Khulna Division
3/15/2013,Lentils (masur) - Retail,85.43,Khulna Division
4/15/2013,Lentils (masur) - Retail,78,Khulna Division
5/15/2013,Lentils (masur) - Retail,81.14,Khulna Division
6/15/2013,Lentils (masur) - Retail,83.4286,Khulna Division
7/15/2013,Lentils (masur) - Retail,81.57,Khulna Division
8/15/2013,Lentils (masur) - Retail,81.1429,Khulna Division
9/15/2013,Lentils (masur) - Retail,83,Khulna Division
10/15/2013,Lentils (masur) - Retail,84.3333,Khulna Division
11/15/2013,Lentils (masur) - Retail,82.875,Khulna Division
12/15/2013,Lentils (masur) - Retail,83.75,Khulna Division
1/15/2014,Lentils (masur) - Retail,83.29,Khulna Division
2/15/2014,Lentils (masur) - Retail,81.875,Khulna Division
3/15/2014,Lentils (masur) - Retail,79.1111,Khulna Division
4/15/2014,Lentils (masur) - Retail,74.67,Khulna Division
5/15/2014,Lentils (masur) - Retail,79.33,Khulna Division
6/15/2014,Lentils (masur) - Retail,82.88,Khulna Division
7/15/2014,Lentils (masur) - Retail,83.13,Khulna Division
8/15/2014,Lentils (masur) - Retail,78.4286,Khulna Division
9/15/2014,Lentils (masur) - Retail,71.4286,Khulna Division
10/15/2014,Lentils (masur) - Retail,81.1429,Khulna Division
11/15/2014,Lentils (masur) - Retail,83.7143,Khulna Division
12/15/2014,Lentils (masur) - Retail,85.4286,Khulna Division
1/15/2015,Lentils (masur) - Retail,86.7143,Khulna Division
2/15/2015,Lentils (masur) - Retail,87.4286,Khulna Division
3/15/2015,Lentils (masur) - Retail,87.2857,Khulna Division
4/15/2015,Lentils (masur) - Retail,86.5714,Khulna Division
