date,cmname,price,mktname
10/15/2005,Rice (coarse) - Retail,17,Khulna Division
11/15/2005,Rice (coarse) - Retail,16,Khulna Division
12/15/2005,Rice (coarse) - Retail,16,Khulna Division
1/15/2006,Rice (coarse) - Retail,16,Khulna Division
2/15/2006,Rice (coarse) - Retail,16,Khulna Division
3/15/2006,Rice (coarse) - Retail,16.5,Khulna Division
4/15/2006,Rice (coarse) - Retail,16,Khulna Division
5/15/2006,Rice (coarse) - Retail,16,Khulna Division
6/15/2006,Rice (coarse) - Retail,16,Khulna Division
7/15/2006,Rice (coarse) - Retail,16,Khulna Division
8/15/2006,Rice (coarse) - Retail,16,Khulna Division
9/15/2006,Rice (coarse) - Retail,16,Khulna Division
10/15/2006,Rice (coarse) - Retail,17,Khulna Division
11/15/2006,Rice (coarse) - Retail,17,Khulna Division
12/15/2006,Rice (coarse) - Retail,17,Khulna Division
1/15/2007,Rice (coarse) - Retail,21.875,Khulna Division
2/15/2007,Rice (coarse) - Retail,32.25,Khulna Division
3/15/2007,Rice (coarse) - Retail,31.8333,Khulna Division
4/15/2007,Rice (coarse) - Retail,32.1667,Khulna Division
5/15/2007,Rice (coarse) - Retail,34.1875,Khulna Division
6/15/2007,Rice (coarse) - Retail,41.2227,Khulna Division
7/15/2007,Rice (coarse) - Retail,41.72,Khulna Division
8/15/2007,Rice (coarse) - Retail,43.4227,Khulna Division
9/15/2007,Rice (coarse) - Retail,44.6333,Khulna Division
10/15/2007,Rice (coarse) - Retail,44.6182,Khulna Division
11/15/2007,Rice (coarse) - Retail,42.3295,Khulna Division
12/15/2007,Rice (coarse) - Retail,42.875,Khulna Division
1/15/2008,Rice (coarse) - Retail,28,Khulna Division
2/15/2008,Rice (coarse) - Retail,28.5,Khulna Division
3/15/2008,Rice (coarse) - Retail,30.5,Khulna Division
4/15/2008,Rice (coarse) - Retail,33.5,Khulna Division
5/15/2008,Rice (coarse) - Retail,29.8,Khulna Division
6/15/2008,Rice (coarse) - Retail,30.4,Khulna Division
7/15/2008,Rice (coarse) - Retail,33,Khulna Division
8/15/2008,Rice (coarse) - Retail,32,Khulna Division
9/15/2008,Rice (coarse) - Retail,31.1667,Khulna Division
10/15/2008,Rice (coarse) - Retail,30.3333,Khulna Division
11/15/2008,Rice (coarse) - Retail,28.2,Khulna Division
12/15/2008,Rice (coarse) - Retail,27.2,Khulna Division
1/15/2009,Rice (coarse) - Retail,24.4,Khulna Division
2/15/2009,Rice (coarse) - Retail,23.6,Khulna Division
3/15/2009,Rice (coarse) - Retail,21.4,Khulna Division
4/15/2009,Rice (coarse) - Retail,19.8,Khulna Division
5/15/2009,Rice (coarse) - Retail,20,Khulna Division
6/15/2009,Rice (coarse) - Retail,19.8,Khulna Division
7/15/2009,Rice (coarse) - Retail,36.2,Khulna Division
8/15/2009,Rice (coarse) - Retail,19.3333,Khulna Division
9/15/2009,Rice (coarse) - Retail,20,Khulna Division
10/15/2009,Rice (coarse) - Retail,21.75,Khulna Division
11/15/2009,Rice (coarse) - Retail,21.6,Khulna Division
12/15/2009,Rice (coarse) - Retail,23.75,Khulna Division
1/15/2010,Rice (coarse) - Retail,26,Khulna Division
2/15/2010,Rice (coarse) - Retail,27.6667,Khulna Division
3/15/2010,Rice (coarse) - Retail,28,Khulna Division
4/15/2010,Rice (coarse) - Retail,27,Khulna Division
5/15/2010,Rice (coarse) - Retail,27,Khulna Division
6/15/2010,Rice (coarse) - Retail,28.25,Khulna Division
7/15/2010,Rice (coarse) - Retail,29.75,Khulna Division
8/15/2010,Rice (coarse) - Retail,30.6667,Khulna Division
9/15/2010,Rice (coarse) - Retail,32.3333,Khulna Division
10/15/2010,Rice (coarse) - Retail,32.5,Khulna Division
11/15/2010,Rice (coarse) - Retail,31.75,Khulna Division
12/15/2010,Rice (coarse) - Retail,32,Khulna Division
1/15/2011,Rice (coarse) - Retail,34,Khulna Division
2/15/2011,Rice (coarse) - Retail,34,Khulna Division
3/15/2011,Rice (coarse) - Retail,34.5,Khulna Division
4/15/2011,Rice (coarse) - Retail,33.5,Khulna Division
5/15/2011,Rice (coarse) - Retail,33,Khulna Division
6/15/2011,Rice (coarse) - Retail,29.5,Khulna Division
7/15/2011,Rice (coarse) - Retail,30.8333,Khulna Division
8/15/2011,Rice (coarse) - Retail,31,Khulna Division
9/15/2011,Rice (coarse) - Retail,31.22,Khulna Division
10/15/2011,Rice (coarse) - Retail,30.2222,Khulna Division
11/15/2011,Rice (coarse) - Retail,32,Khulna Division
12/15/2011,Rice (coarse) - Retail,29.25,Khulna Division
1/15/2012,Rice (coarse) - Retail,26.6667,Khulna Division
2/15/2012,Rice (coarse) - Retail,26.5,Khulna Division
3/15/2012,Rice (coarse) - Retail,25.6667,Khulna Division
4/15/2012,Rice (coarse) - Retail,25.5,Khulna Division
5/15/2012,Rice (coarse) - Retail,24.625,Khulna Division
6/15/2012,Rice (coarse) - Retail,24,Khulna Division
7/15/2012,Rice (coarse) - Retail,23.625,Khulna Division
8/15/2012,Rice (coarse) - Retail,23.25,Khulna Division
9/15/2012,Rice (coarse) - Retail,23.1111,Khulna Division
10/15/2012,Rice (coarse) - Retail,23,Khulna Division
11/15/2012,Rice (coarse) - Retail,24.375,Khulna Division
12/15/2012,Rice (coarse) - Retail,24.38,Khulna Division
1/15/2013,Rice (coarse) - Retail,25.17,Khulna Division
2/15/2013,Rice (coarse) - Retail,27.6,Khulna Division
3/15/2013,Rice (coarse) - Retail,28.17,Khulna Division
4/15/2013,Rice (coarse) - Retail,28.33,Khulna Division
5/15/2013,Rice (coarse) - Retail,27.67,Khulna Division
6/15/2013,Rice (coarse) - Retail,28.625,Khulna Division
7/15/2013,Rice (coarse) - Retail,30.63,Khulna Division
8/15/2013,Rice (coarse) - Retail,30.875,Khulna Division
9/15/2013,Rice (coarse) - Retail,31.5,Khulna Division
10/15/2013,Rice (coarse) - Retail,31.875,Khulna Division
11/15/2013,Rice (coarse) - Retail,32.375,Khulna Division
12/15/2013,Rice (coarse) - Retail,31,Khulna Division
1/15/2014,Rice (coarse) - Retail,31.67,Khulna Division
2/15/2014,Rice (coarse) - Retail,31.75,Khulna Division
3/15/2014,Rice (coarse) - Retail,32.1667,Khulna Division
4/15/2014,Rice (coarse) - Retail,33.17,Khulna Division
5/15/2014,Rice (coarse) - Retail,32.67,Khulna Division
6/15/2014,Rice (coarse) - Retail,31.4444,Khulna Division
7/15/2014,Rice (coarse) - Retail,32.1,Khulna Division
8/15/2014,Rice (coarse) - Retail,32.3,Khulna Division
9/15/2014,Rice (coarse) - Retail,32.3,Khulna Division
10/15/2014,Rice (coarse) - Retail,32.4,Khulna Division
11/15/2014,Rice (coarse) - Retail,32.3,Khulna Division
12/15/2014,Rice (coarse) - Retail,31.2,Khulna Division
1/15/2015,Rice (coarse) - Retail,30.1667,Khulna Division
2/15/2015,Rice (coarse) - Retail,30,Khulna Division
3/15/2015,Rice (coarse) - Retail,30,Khulna Division
4/15/2015,Rice (coarse) - Retail,35.3333,Khulna Division
5/15/2015,Rice (coarse) - Retail,27,Khulna Division
6/15/2015,Rice (coarse) - Retail,26.7,Khulna Division
7/15/2015,Rice (coarse) - Retail,26.9,Khulna Division
8/15/2015,Rice (coarse) - Retail,26.9,Khulna Division
9/15/2015,Rice (coarse) - Retail,26.7,Khulna Division
10/15/2015,Rice (coarse) - Retail,27.5,Khulna Division
11/15/2015,Rice (coarse) - Retail,27.4,Khulna Division
12/15/2015,Rice (coarse) - Retail,25.17,Khulna Division
1/15/2016,Rice (coarse) - Retail,25.33,Khulna Division
2/15/2016,Rice (coarse) - Retail,25.67,Khulna Division
3/15/2016,Rice (coarse) - Retail,25.17,Khulna Division
4/15/2016,Rice (coarse) - Retail,25.7,Khulna Division
5/15/2016,Rice (coarse) - Retail,25.57,Khulna Division
6/15/2016,Rice (coarse) - Retail,26.78,Khulna Division
7/15/2016,Rice (coarse) - Retail,27.55,Khulna Division
8/15/2016,Rice (coarse) - Retail,29.78,Khulna Division
9/15/2016,Rice (coarse) - Retail,33.4,Khulna Division
10/15/2016,Rice (coarse) - Retail,35.3,Khulna Division
11/15/2016,Rice (coarse) - Retail,35.78,Khulna Division
12/15/2016,Rice (coarse) - Retail,34.33,Khulna Division
1/15/2017,Rice (coarse) - Retail,34.5,Khulna Division
2/15/2017,Rice (coarse) - Retail,35.5,Khulna Division
3/15/2017,Rice (coarse) - Retail,35.4,Khulna Division
4/15/2017,Rice (coarse) - Retail,36.2,Khulna Division
5/15/2017,Rice (coarse) - Retail,38.8,Khulna Division
6/15/2017,Rice (coarse) - Retail,39.1678,Khulna Division
7/15/2017,Rice (coarse) - Retail,40.2763,Khulna Division
8/15/2017,Rice (coarse) - Retail,39.7675,Khulna Division
9/15/2017,Rice (coarse) - Retail,23.61,Khulna Division
10/15/2017,Rice (coarse) - Retail,23.61,Khulna Division
11/15/2017,Rice (coarse) - Retail,20.5,Khulna Division
12/15/2017,Rice (coarse) - Retail,40.63,Khulna Division
1/15/2018,Rice (coarse) - Retail,40.305,Khulna Division
2/15/2018,Rice (coarse) - Retail,40.235,Khulna Division
3/15/2018,Rice (coarse) - Retail,40.2,Khulna Division
4/15/2018,Rice (coarse) - Retail,37.88,Khulna Division
5/15/2018,Rice (coarse) - Retail,38.075,Khulna Division
6/15/2018,Rice (coarse) - Retail,37.15,Khulna Division
7/15/2018,Rice (coarse) - Retail,37.563,Khulna Division
8/15/2018,Rice (coarse) - Retail,37.102,Khulna Division
9/15/2018,Rice (coarse) - Retail,36.524,Khulna Division
10/15/2018,Rice (coarse) - Retail,35.254,Khulna Division
11/15/2018,Rice (coarse) - Retail,33.711,Khulna Division
12/15/2018,Rice (coarse) - Retail,29.97,Khulna Division
1/15/2019,Rice (coarse) - Retail,30.85,Khulna Division
2/15/2019,Rice (coarse) - Retail,29.13,Khulna Division
3/15/2019,Rice (coarse) - Retail,28.94,Khulna Division
4/15/2019,Rice (coarse) - Retail,28.28,Khulna Division
