date,cmname,price,mktname
10/15/2005,Wheat flour - Retail,20,Khulna Division
11/15/2005,Wheat flour - Retail,19,Khulna Division
3/15/2006,Wheat flour - Retail,20,Khulna Division
4/15/2006,Wheat flour - Retail,20.5,Khulna Division
5/15/2006,Wheat flour - Retail,21,Khulna Division
6/15/2006,Wheat flour - Retail,20.5,Khulna Division
7/15/2006,Wheat flour - Retail,21,Khulna Division
8/15/2006,Wheat flour - Retail,21.5,Khulna Division
9/15/2006,Wheat flour - Retail,22,Khulna Division
10/15/2006,Wheat flour - Retail,22.5,Khulna Division
11/15/2006,Wheat flour - Retail,24.5,Khulna Division
12/15/2006,Wheat flour - Retail,25.5,Khulna Division
1/15/2007,Wheat flour - Retail,24.6667,Khulna Division
2/15/2007,Wheat flour - Retail,25.5,Khulna Division
3/15/2007,Wheat flour - Retail,25.6667,Khulna Division
4/15/2007,Wheat flour - Retail,25.5,Khulna Division
5/15/2007,Wheat flour - Retail,25.8333,Khulna Division
6/15/2007,Wheat flour - Retail,25.8,Khulna Division
7/15/2007,Wheat flour - Retail,27.2,Khulna Division
8/15/2007,Wheat flour - Retail,30.6667,Khulna Division
9/15/2007,Wheat flour - Retail,31.8,Khulna Division
10/15/2007,Wheat flour - Retail,33.75,Khulna Division
11/15/2007,Wheat flour - Retail,37.75,Khulna Division
12/15/2007,Wheat flour - Retail,38.25,Khulna Division
1/15/2008,Wheat flour - Retail,40.25,Khulna Division
2/15/2008,Wheat flour - Retail,41.75,Khulna Division
3/15/2008,Wheat flour - Retail,43.25,Khulna Division
4/15/2008,Wheat flour - Retail,43.5,Khulna Division
5/15/2008,Wheat flour - Retail,42.2,Khulna Division
6/15/2008,Wheat flour - Retail,42.4,Khulna Division
7/15/2008,Wheat flour - Retail,41.6,Khulna Division
8/15/2008,Wheat flour - Retail,40.8,Khulna Division
9/15/2008,Wheat flour - Retail,40,Khulna Division
10/15/2008,Wheat flour - Retail,39.6667,Khulna Division
11/15/2008,Wheat flour - Retail,36.6667,Khulna Division
12/15/2008,Wheat flour - Retail,30.1667,Khulna Division
1/15/2009,Wheat flour - Retail,26.5,Khulna Division
2/15/2009,Wheat flour - Retail,26,Khulna Division
3/15/2009,Wheat flour - Retail,25.4,Khulna Division
4/15/2009,Wheat flour - Retail,23.8,Khulna Division
5/15/2009,Wheat flour - Retail,22.6,Khulna Division
6/15/2009,Wheat flour - Retail,21.8,Khulna Division
7/15/2009,Wheat flour - Retail,22.2,Khulna Division
8/15/2009,Wheat flour - Retail,21.3333,Khulna Division
9/15/2009,Wheat flour - Retail,21.3333,Khulna Division
10/15/2009,Wheat flour - Retail,21.5,Khulna Division
11/15/2009,Wheat flour - Retail,21.8,Khulna Division
12/15/2009,Wheat flour - Retail,22.5,Khulna Division
1/15/2010,Wheat flour - Retail,24,Khulna Division
2/15/2010,Wheat flour - Retail,24,Khulna Division
3/15/2010,Wheat flour - Retail,24,Khulna Division
4/15/2010,Wheat flour - Retail,24,Khulna Division
5/15/2010,Wheat flour - Retail,24,Khulna Division
6/15/2010,Wheat flour - Retail,24.5,Khulna Division
7/15/2010,Wheat flour - Retail,24.25,Khulna Division
8/15/2010,Wheat flour - Retail,25.3333,Khulna Division
9/15/2010,Wheat flour - Retail,28.6667,Khulna Division
10/15/2010,Wheat flour - Retail,31.75,Khulna Division
11/15/2010,Wheat flour - Retail,31,Khulna Division
12/15/2010,Wheat flour - Retail,31,Khulna Division
1/15/2011,Wheat flour - Retail,35.6,Khulna Division
2/15/2011,Wheat flour - Retail,36,Khulna Division
3/15/2011,Wheat flour - Retail,35.375,Khulna Division
4/15/2011,Wheat flour - Retail,34.23,Khulna Division
5/15/2011,Wheat flour - Retail,34.6,Khulna Division
6/15/2011,Wheat flour - Retail,30.8571,Khulna Division
7/15/2011,Wheat flour - Retail,30.2857,Khulna Division
8/15/2011,Wheat flour - Retail,30.75,Khulna Division
9/15/2011,Wheat flour - Retail,31.45,Khulna Division
10/15/2011,Wheat flour - Retail,32.25,Khulna Division
11/15/2011,Wheat flour - Retail,33.25,Khulna Division
12/15/2011,Wheat flour - Retail,32.5,Khulna Division
1/15/2012,Wheat flour - Retail,32.1111,Khulna Division
2/15/2012,Wheat flour - Retail,32.8889,Khulna Division
3/15/2012,Wheat flour - Retail,35.1,Khulna Division
4/15/2012,Wheat flour - Retail,34.9,Khulna Division
5/15/2012,Wheat flour - Retail,34.5,Khulna Division
6/15/2012,Wheat flour - Retail,33.6,Khulna Division
7/15/2012,Wheat flour - Retail,32.1,Khulna Division
8/15/2012,Wheat flour - Retail,32.8,Khulna Division
9/15/2012,Wheat flour - Retail,35,Khulna Division
10/15/2012,Wheat flour - Retail,36.2,Khulna Division
11/15/2012,Wheat flour - Retail,37.2,Khulna Division
12/15/2012,Wheat flour - Retail,37.2,Khulna Division
1/15/2013,Wheat flour - Retail,32.11,Khulna Division
2/15/2013,Wheat flour - Retail,37.7,Khulna Division
3/15/2013,Wheat flour - Retail,38.1,Khulna Division
4/15/2013,Wheat flour - Retail,37.4,Khulna Division
5/15/2013,Wheat flour - Retail,36.8,Khulna Division
6/15/2013,Wheat flour - Retail,36.7,Khulna Division
7/15/2013,Wheat flour - Retail,36.8,Khulna Division
8/15/2013,Wheat flour - Retail,36.1,Khulna Division
9/15/2013,Wheat flour - Retail,35.8,Khulna Division
10/15/2013,Wheat flour - Retail,35.2222,Khulna Division
11/15/2013,Wheat flour - Retail,36,Khulna Division
12/15/2013,Wheat flour - Retail,36.11,Khulna Division
1/15/2014,Wheat flour - Retail,36.25,Khulna Division
2/15/2014,Wheat flour - Retail,36.4444,Khulna Division
3/15/2014,Wheat flour - Retail,36.1,Khulna Division
4/15/2014,Wheat flour - Retail,36,Khulna Division
5/15/2014,Wheat flour - Retail,35.56,Khulna Division
6/15/2014,Wheat flour - Retail,35.3333,Khulna Division
7/15/2014,Wheat flour - Retail,35.7778,Khulna Division
8/15/2014,Wheat flour - Retail,35.6667,Khulna Division
9/15/2014,Wheat flour - Retail,36,Khulna Division
10/15/2014,Wheat flour - Retail,35.7778,Khulna Division
11/15/2014,Wheat flour - Retail,36,Khulna Division
12/15/2014,Wheat flour - Retail,35.7778,Khulna Division
1/15/2015,Wheat flour - Retail,36,Khulna Division
2/15/2015,Wheat flour - Retail,36.2222,Khulna Division
3/15/2015,Wheat flour - Retail,36.2222,Khulna Division
4/15/2015,Wheat flour - Retail,35.3333,Khulna Division
5/15/2015,Wheat flour - Retail,34,Khulna Division
6/15/2015,Wheat flour - Retail,33.4444,Khulna Division
7/15/2015,Wheat flour - Retail,33.33,Khulna Division
8/15/2015,Wheat flour - Retail,33.22,Khulna Division
9/15/2015,Wheat flour - Retail,32.86,Khulna Division
10/15/2015,Wheat flour - Retail,33,Khulna Division
11/15/2015,Wheat flour - Retail,33,Khulna Division
12/15/2015,Wheat flour - Retail,32.89,Khulna Division
1/15/2016,Wheat flour - Retail,32.44,Khulna Division
2/15/2016,Wheat flour - Retail,32.33,Khulna Division
3/15/2016,Wheat flour - Retail,31.89,Khulna Division
4/15/2016,Wheat flour - Retail,31.11,Khulna Division
5/15/2016,Wheat flour - Retail,30.78,Khulna Division
6/15/2016,Wheat flour - Retail,30.44,Khulna Division
7/15/2016,Wheat flour - Retail,30.37,Khulna Division
8/15/2016,Wheat flour - Retail,31,Khulna Division
9/15/2016,Wheat flour - Retail,31.4,Khulna Division
10/15/2016,Wheat flour - Retail,31.6,Khulna Division
11/15/2016,Wheat flour - Retail,31.67,Khulna Division
12/15/2016,Wheat flour - Retail,31.67,Khulna Division
1/15/2017,Wheat flour - Retail,31.33,Khulna Division
2/15/2017,Wheat flour - Retail,31.22,Khulna Division
3/15/2017,Wheat flour - Retail,31.1,Khulna Division
4/15/2017,Wheat flour - Retail,31.2222,Khulna Division
5/15/2017,Wheat flour - Retail,31.2222,Khulna Division
6/15/2017,Wheat flour - Retail,31.2857,Khulna Division
7/15/2017,Wheat flour - Retail,30.9,Khulna Division
8/15/2017,Wheat flour - Retail,31.2,Khulna Division
9/15/2017,Wheat flour - Retail,32.6844,Khulna Division
10/15/2017,Wheat flour - Retail,33.1567,Khulna Division
11/15/2017,Wheat flour - Retail,32.5,Khulna Division
12/15/2017,Wheat flour - Retail,32.188,Khulna Division
1/15/2018,Wheat flour - Retail,32.134,Khulna Division
2/15/2018,Wheat flour - Retail,31.967,Khulna Division
3/15/2018,Wheat flour - Retail,32.016,Khulna Division
4/15/2018,Wheat flour - Retail,32.038,Khulna Division
5/15/2018,Wheat flour - Retail,31.844,Khulna Division
6/15/2018,Wheat flour - Retail,31.928,Khulna Division
7/15/2018,Wheat flour - Retail,31.978,Khulna Division
8/15/2018,Wheat flour - Retail,32.017,Khulna Division
9/15/2018,Wheat flour - Retail,32.128,Khulna Division
10/15/2018,Wheat flour - Retail,32.173,Khulna Division
11/15/2018,Wheat flour - Retail,32.096,Khulna Division
12/15/2018,Wheat flour - Retail,32.155,Khulna Division
1/15/2019,Wheat flour - Retail,32.3,Khulna Division
2/15/2019,Wheat flour - Retail,32.69,Khulna Division
3/15/2019,Wheat flour - Retail,32.35,Khulna Division
4/15/2019,Wheat flour - Retail,32.15,Khulna Division
5/15/2019,Wheat flour - Retail,31.76,Khulna Division
6/15/2019,Wheat flour - Retail,31.81,Khulna Division
7/15/2019,Wheat flour - Retail,32.1333,Khulna Division
10/15/2019,Wheat flour - Retail,32.3,Khulna Division
11/15/2019,Wheat flour - Retail,32.5,Khulna Division
12/15/2019,Wheat flour - Retail,32.5,Khulna Division
1/15/2020,Wheat flour - Retail,32.3,Khulna Division
2/15/2020,Wheat flour - Retail,31.9,Khulna Division
3/15/2020,Wheat flour - Retail,31.8,Khulna Division
4/15/2020,Wheat flour - Retail,32.4,Khulna Division
5/15/2020,Wheat flour - Retail,32.8,Khulna Division
6/15/2020,Wheat flour - Retail,33.38,Khulna Division
7/15/2020,Wheat flour - Retail,35.29,Khulna Division
8/15/2020,Wheat flour - Retail,35.06,Khulna Sadar
9/15/2020,Wheat flour - Retail,35,Khulna Sadar
10/15/2020,Wheat flour - Retail,35,Khulna Sadar
11/15/2020,Wheat flour - Retail,35,Khulna Sadar
12/15/2020,Wheat flour - Retail,34.8567,Khulna Sadar
1/15/2021,Wheat flour - Retail,35,Khulna Sadar
2/15/2021,Wheat flour - Retail,35.23,Khulna Sadar
3/15/2021,Wheat flour - Retail,35,Khulna Sadar
4/15/2021,Wheat flour - Retail,34.925,Khulna Sadar
5/15/2021,Wheat flour - Retail,34.866,Khulna Sadar
6/15/2021,Wheat flour - Retail,35,Khulna Sadar
7/15/2021,Wheat flour - Retail,35.15,Khulna Sadar
8/15/2021,Wheat flour - Retail,35,Khulna Sadar
9/15/2021,Wheat flour - Retail,35.13,Khulna Sadar
10/15/2021,Wheat flour - Retail,37.02,Khulna Sadar
11/15/2021,Wheat flour - Retail,39.92,Khulna Sadar
12/15/2021,Wheat flour - Retail,39.18,Khulna Sadar
