date,cmname,price,mktname
5/15/2006,Lentils (masur) - Retail,52,Rajshahi Division
7/15/2006,Lentils (masur) - Retail,52,Rajshahi Division
8/15/2006,Lentils (masur) - Retail,53.4444,Rajshahi Division
9/15/2006,Lentils (masur) - Retail,53.4615,Rajshahi Division
10/15/2006,Lentils (masur) - Retail,52.6667,Rajshahi Division
11/15/2006,Lentils (masur) - Retail,52.3636,Rajshahi Division
12/15/2006,Lentils (masur) - Retail,53.9091,Rajshahi Division
1/15/2007,Lentils (masur) - Retail,53.1667,Rajshahi Division
2/15/2007,Lentils (masur) - Retail,53.3077,Rajshahi Division
3/15/2007,Lentils (masur) - Retail,52.9286,Rajshahi Division
4/15/2007,Lentils (masur) - Retail,51.1,Rajshahi Division
5/15/2007,Lentils (masur) - Retail,53,Rajshahi Division
6/15/2007,Lentils (masur) - Retail,55.7273,Rajshahi Division
7/15/2007,Lentils (masur) - Retail,56.7,Rajshahi Division
8/15/2007,Lentils (masur) - Retail,59.7273,Rajshahi Division
9/15/2007,Lentils (masur) - Retail,59.8333,Rajshahi Division
10/15/2007,Lentils (masur) - Retail,59.1818,Rajshahi Division
11/15/2007,Lentils (masur) - Retail,59.6364,Rajshahi Division
12/15/2007,Lentils (masur) - Retail,60.5,Rajshahi Division
1/15/2008,Lentils (masur) - Retail,60.9167,Rajshahi Division
2/15/2008,Lentils (masur) - Retail,61.4167,Rajshahi Division
3/15/2008,Lentils (masur) - Retail,66.8,Rajshahi Division
4/15/2008,Lentils (masur) - Retail,70,Rajshahi Division
5/15/2008,Lentils (masur) - Retail,73.7273,Rajshahi Division
6/15/2008,Lentils (masur) - Retail,74.7778,Rajshahi Division
7/15/2008,Lentils (masur) - Retail,87.2727,Rajshahi Division
8/15/2008,Lentils (masur) - Retail,90.7273,Rajshahi Division
9/15/2008,Lentils (masur) - Retail,89.2727,Rajshahi Division
10/15/2008,Lentils (masur) - Retail,89,Rajshahi Division
11/15/2008,Lentils (masur) - Retail,87.9091,Rajshahi Division
12/15/2008,Lentils (masur) - Retail,87.8,Rajshahi Division
1/15/2009,Lentils (masur) - Retail,83.6667,Rajshahi Division
2/15/2009,Lentils (masur) - Retail,82.4545,Rajshahi Division
3/15/2009,Lentils (masur) - Retail,82.3636,Rajshahi Division
4/15/2009,Lentils (masur) - Retail,81.2222,Rajshahi Division
5/15/2009,Lentils (masur) - Retail,85.8,Rajshahi Division
6/15/2009,Lentils (masur) - Retail,87.25,Rajshahi Division
7/15/2009,Lentils (masur) - Retail,89,Rajshahi Division
8/15/2009,Lentils (masur) - Retail,102,Rajshahi Division
9/15/2009,Lentils (masur) - Retail,99.2,Rajshahi Division
10/15/2009,Lentils (masur) - Retail,100.2222,Rajshahi Division
11/15/2009,Lentils (masur) - Retail,99.9286,Rajshahi Division
12/15/2009,Lentils (masur) - Retail,100.5,Rajshahi Division
1/15/2010,Lentils (masur) - Retail,93,Rajshahi Division
2/15/2010,Lentils (masur) - Retail,83,Rajshahi Division
3/15/2010,Lentils (masur) - Retail,79,Rajshahi Division
4/15/2010,Lentils (masur) - Retail,84.4286,Rajshahi Division
5/15/2010,Lentils (masur) - Retail,84.3,Rajshahi Division
6/15/2010,Lentils (masur) - Retail,84.5556,Rajshahi Division
7/15/2010,Lentils (masur) - Retail,84.7143,Rajshahi Division
8/15/2010,Lentils (masur) - Retail,87.375,Rajshahi Division
9/15/2010,Lentils (masur) - Retail,84.4286,Rajshahi Division
10/15/2010,Lentils (masur) - Retail,81.2,Rajshahi Division
11/15/2010,Lentils (masur) - Retail,83,Rajshahi Division
12/15/2010,Lentils (masur) - Retail,87,Rajshahi Division
1/15/2011,Lentils (masur) - Retail,75.8,Rajshahi Division
2/15/2011,Lentils (masur) - Retail,74.125,Rajshahi Division
3/15/2011,Lentils (masur) - Retail,76.8,Rajshahi Division
4/15/2011,Lentils (masur) - Retail,76,Rajshahi Division
5/15/2011,Lentils (masur) - Retail,72,Rajshahi Division
6/15/2011,Lentils (masur) - Retail,72,Rajshahi Division
7/15/2011,Lentils (masur) - Retail,74.14,Rajshahi Division
8/15/2011,Lentils (masur) - Retail,74.44,Rajshahi Division
9/15/2011,Lentils (masur) - Retail,78.6,Rajshahi Division
10/15/2011,Lentils (masur) - Retail,77.8333,Rajshahi Division
11/15/2011,Lentils (masur) - Retail,75,Rajshahi Division
12/15/2011,Lentils (masur) - Retail,74.3333,Rajshahi Division
1/15/2012,Lentils (masur) - Retail,71.2727,Rajshahi Division
2/15/2012,Lentils (masur) - Retail,71.6364,Rajshahi Division
3/15/2012,Lentils (masur) - Retail,70.5,Rajshahi Division
4/15/2012,Lentils (masur) - Retail,73.4,Rajshahi Division
5/15/2012,Lentils (masur) - Retail,82.4,Rajshahi Division
6/15/2012,Lentils (masur) - Retail,84.2,Rajshahi Division
7/15/2012,Lentils (masur) - Retail,85.7,Rajshahi Division
8/15/2012,Lentils (masur) - Retail,85.2727,Rajshahi Division
9/15/2012,Lentils (masur) - Retail,84.6364,Rajshahi Division
10/15/2012,Lentils (masur) - Retail,83.72,Rajshahi Division
11/15/2012,Lentils (masur) - Retail,80.1818,Rajshahi Division
12/15/2012,Lentils (masur) - Retail,80.18,Rajshahi Division
1/15/2013,Lentils (masur) - Retail,79,Rajshahi Division
2/15/2013,Lentils (masur) - Retail,81.58,Rajshahi Division
3/15/2013,Lentils (masur) - Retail,81.58,Rajshahi Division
4/15/2013,Lentils (masur) - Retail,79,Rajshahi Division
5/15/2013,Lentils (masur) - Retail,81,Rajshahi Division
6/15/2013,Lentils (masur) - Retail,82.0833,Rajshahi Division
7/15/2013,Lentils (masur) - Retail,81.58,Rajshahi Division
8/15/2013,Lentils (masur) - Retail,82.3,Rajshahi Division
9/15/2013,Lentils (masur) - Retail,81,Rajshahi Division
10/15/2013,Lentils (masur) - Retail,78.8333,Rajshahi Division
11/15/2013,Lentils (masur) - Retail,79,Rajshahi Division
12/15/2013,Lentils (masur) - Retail,80.83,Rajshahi Division
1/15/2014,Lentils (masur) - Retail,81.09,Rajshahi Division
2/15/2014,Lentils (masur) - Retail,79.2727,Rajshahi Division
3/15/2014,Lentils (masur) - Retail,77.9167,Rajshahi Division
4/15/2014,Lentils (masur) - Retail,78.55,Rajshahi Division
5/15/2014,Lentils (masur) - Retail,79.95,Rajshahi Division
6/15/2014,Lentils (masur) - Retail,81.45,Rajshahi Division
7/15/2014,Lentils (masur) - Retail,81.58,Rajshahi Division
