date,cmname,price,mktname,default
5/15/2006,Rice (coarse) - Retail,16,Rajshahi Division,
7/15/2006,Rice (coarse) - Retail,17,Rajshahi Division,
8/15/2006,Rice (coarse) - Retail,16.7273,Rajshahi Division,
9/15/2006,Rice (coarse) - Retail,16.9231,Rajshahi Division,
10/15/2006,Rice (coarse) - Retail,16.9231,Rajshahi Division,
11/15/2006,Rice (coarse) - Retail,16.9167,Rajshahi Division,
12/15/2006,Rice (coarse) - Retail,17.1,Rajshahi Division,
1/15/2007,Rice (coarse) - Retail,17.1,Rajshahi Division,
2/15/2007,Rice (coarse) - Retail,17.7273,Rajshahi Division,
3/15/2007,Rice (coarse) - Retail,19.2727,Rajshahi Division,
4/15/2007,Rice (coarse) - Retail,19.5556,Rajshahi Division,
5/15/2007,Rice (coarse) - Retail,18.9091,Rajshahi Division,
6/15/2007,Rice (coarse) - Retail,18.5833,Rajshahi Division,
7/15/2007,Rice (coarse) - Retail,19.5385,Rajshahi Division,
8/15/2007,Rice (coarse) - Retail,20.6667,Rajshahi Division,
9/15/2007,Rice (coarse) - Retail,20.7857,Rajshahi Division,
10/15/2007,Rice (coarse) - Retail,20.8571,Rajshahi Division,
11/15/2007,Rice (coarse) - Retail,22,Rajshahi Division,
12/15/2007,Rice (coarse) - Retail,23.125,Rajshahi Division,
1/15/2008,Rice (coarse) - Retail,27.5455,Rajshahi Division,
2/15/2008,Rice (coarse) - Retail,27.8182,Rajshahi Division,
3/15/2008,Rice (coarse) - Retail,29.75,Rajshahi Division,
4/15/2008,Rice (coarse) - Retail,33.25,Rajshahi Division,
5/15/2008,Rice (coarse) - Retail,29.4,Rajshahi Division,
6/15/2008,Rice (coarse) - Retail,30.0667,Rajshahi Division,
7/15/2008,Rice (coarse) - Retail,31.8667,Rajshahi Division,
8/15/2008,Rice (coarse) - Retail,31.2667,Rajshahi Division,
9/15/2008,Rice (coarse) - Retail,30.4667,Rajshahi Division,
10/15/2008,Rice (coarse) - Retail,29.3077,Rajshahi Division,
11/15/2008,Rice (coarse) - Retail,26.6429,Rajshahi Division,
12/15/2008,Rice (coarse) - Retail,26.7,Rajshahi Division,
1/15/2009,Rice (coarse) - Retail,23.6364,Rajshahi Division,
2/15/2009,Rice (coarse) - Retail,22.4615,Rajshahi Division,
3/15/2009,Rice (coarse) - Retail,20.5455,Rajshahi Division,
4/15/2009,Rice (coarse) - Retail,18.8182,Rajshahi Division,
5/15/2009,Rice (coarse) - Retail,19.3333,Rajshahi Division,
6/15/2009,Rice (coarse) - Retail,19.5833,Rajshahi Division,
7/15/2009,Rice (coarse) - Retail,19,Rajshahi Division,
8/15/2009,Rice (coarse) - Retail,19.3,Rajshahi Division,
9/15/2009,Rice (coarse) - Retail,20.0833,Rajshahi Division,
10/15/2009,Rice (coarse) - Retail,21,Rajshahi Division,
11/15/2009,Rice (coarse) - Retail,20.9286,Rajshahi Division,
12/15/2009,Rice (coarse) - Retail,22.25,Rajshahi Division,
1/15/2010,Rice (coarse) - Retail,25.2857,Rajshahi Division,
