date,cmname,price,mktname
7/15/2006,Wheat flour - Retail,20,Rajshahi Division
8/15/2006,Wheat flour - Retail,20.3636,Rajshahi Division
9/15/2006,Wheat flour - Retail,21.1667,Rajshahi Division
10/15/2006,Wheat flour - Retail,21.6154,Rajshahi Division
11/15/2006,Wheat flour - Retail,23.4545,Rajshahi Division
12/15/2006,Wheat flour - Retail,24.9091,Rajshahi Division
1/15/2007,Wheat flour - Retail,25.4167,Rajshahi Division
2/15/2007,Wheat flour - Retail,25.6154,Rajshahi Division
3/15/2007,Wheat flour - Retail,25.5714,Rajshahi Division
4/15/2007,Wheat flour - Retail,25.6364,Rajshahi Division
5/15/2007,Wheat flour - Retail,25.4615,Rajshahi Division
6/15/2007,Wheat flour - Retail,25.6154,Rajshahi Division
7/15/2007,Wheat flour - Retail,28,Rajshahi Division
8/15/2007,Wheat flour - Retail,31,Rajshahi Division
9/15/2007,Wheat flour - Retail,31.7857,Rajshahi Division
10/15/2007,Wheat flour - Retail,33.0769,Rajshahi Division
11/15/2007,Wheat flour - Retail,37.2308,Rajshahi Division
12/15/2007,Wheat flour - Retail,37.5714,Rajshahi Division
1/15/2008,Wheat flour - Retail,39.0769,Rajshahi Division
2/15/2008,Wheat flour - Retail,40.3077,Rajshahi Division
3/15/2008,Wheat flour - Retail,42.5385,Rajshahi Division
4/15/2008,Wheat flour - Retail,42.3571,Rajshahi Division
5/15/2008,Wheat flour - Retail,42,Rajshahi Division
6/15/2008,Wheat flour - Retail,41.0667,Rajshahi Division
7/15/2008,Wheat flour - Retail,40.8667,Rajshahi Division
8/15/2008,Wheat flour - Retail,40.2,Rajshahi Division
9/15/2008,Wheat flour - Retail,39.25,Rajshahi Division
10/15/2008,Wheat flour - Retail,38.8571,Rajshahi Division
11/15/2008,Wheat flour - Retail,36.2,Rajshahi Division
12/15/2008,Wheat flour - Retail,30.0714,Rajshahi Division
1/15/2009,Wheat flour - Retail,27.0667,Rajshahi Division
2/15/2009,Wheat flour - Retail,26.2,Rajshahi Division
3/15/2009,Wheat flour - Retail,25.5714,Rajshahi Division
4/15/2009,Wheat flour - Retail,23.9167,Rajshahi Division
5/15/2009,Wheat flour - Retail,22.7692,Rajshahi Division
6/15/2009,Wheat flour - Retail,22.25,Rajshahi Division
7/15/2009,Wheat flour - Retail,22,Rajshahi Division
8/15/2009,Wheat flour - Retail,22,Rajshahi Division
9/15/2009,Wheat flour - Retail,22.25,Rajshahi Division
10/15/2009,Wheat flour - Retail,21.8182,Rajshahi Division
11/15/2009,Wheat flour - Retail,21.9333,Rajshahi Division
12/15/2009,Wheat flour - Retail,22.6923,Rajshahi Division
1/15/2010,Wheat flour - Retail,25,Rajshahi Division
2/15/2010,Wheat flour - Retail,25,Rajshahi Division
3/15/2010,Wheat flour - Retail,24,Rajshahi Division
4/15/2010,Wheat flour - Retail,23.3571,Rajshahi Division
5/15/2010,Wheat flour - Retail,23.7,Rajshahi Division
6/15/2010,Wheat flour - Retail,23.6667,Rajshahi Division
7/15/2010,Wheat flour - Retail,23.5714,Rajshahi Division
8/15/2010,Wheat flour - Retail,25.5,Rajshahi Division
9/15/2010,Wheat flour - Retail,29.75,Rajshahi Division
10/15/2010,Wheat flour - Retail,31.8333,Rajshahi Division
11/15/2010,Wheat flour - Retail,32,Rajshahi Division
12/15/2010,Wheat flour - Retail,32.5,Rajshahi Division
1/15/2011,Wheat flour - Retail,35.57,Rajshahi Division
2/15/2011,Wheat flour - Retail,35.6667,Rajshahi Division
3/15/2011,Wheat flour - Retail,34.6667,Rajshahi Division
4/15/2011,Wheat flour - Retail,33.67,Rajshahi Division
5/15/2011,Wheat flour - Retail,31.66,Rajshahi Division
6/15/2011,Wheat flour - Retail,30.375,Rajshahi Division
7/15/2011,Wheat flour - Retail,30,Rajshahi Division
8/15/2011,Wheat flour - Retail,29.85,Rajshahi Division
9/15/2011,Wheat flour - Retail,30.61,Rajshahi Division
10/15/2011,Wheat flour - Retail,31.5714,Rajshahi Division
11/15/2011,Wheat flour - Retail,31.3,Rajshahi Division
12/15/2011,Wheat flour - Retail,32.6667,Rajshahi Division
1/15/2012,Wheat flour - Retail,31.6667,Rajshahi Division
2/15/2012,Wheat flour - Retail,32.4667,Rajshahi Division
3/15/2012,Wheat flour - Retail,34.2667,Rajshahi Division
4/15/2012,Wheat flour - Retail,34.5,Rajshahi Division
5/15/2012,Wheat flour - Retail,33.1429,Rajshahi Division
6/15/2012,Wheat flour - Retail,32.0714,Rajshahi Division
7/15/2012,Wheat flour - Retail,31.7857,Rajshahi Division
8/15/2012,Wheat flour - Retail,32.0714,Rajshahi Division
9/15/2012,Wheat flour - Retail,33.4286,Rajshahi Division
10/15/2012,Wheat flour - Retail,35.1333,Rajshahi Division
11/15/2012,Wheat flour - Retail,36.5333,Rajshahi Division
12/15/2012,Wheat flour - Retail,36.53,Rajshahi Division
1/15/2013,Wheat flour - Retail,31.67,Rajshahi Division
2/15/2013,Wheat flour - Retail,37.2,Rajshahi Division
3/15/2013,Wheat flour - Retail,37.47,Rajshahi Division
4/15/2013,Wheat flour - Retail,37.13,Rajshahi Division
5/15/2013,Wheat flour - Retail,36.27,Rajshahi Division
6/15/2013,Wheat flour - Retail,36.2143,Rajshahi Division
7/15/2013,Wheat flour - Retail,35.88,Rajshahi Division
8/15/2013,Wheat flour - Retail,35.6,Rajshahi Division
9/15/2013,Wheat flour - Retail,35,Rajshahi Division
10/15/2013,Wheat flour - Retail,34.5625,Rajshahi Division
11/15/2013,Wheat flour - Retail,35.0625,Rajshahi Division
12/15/2013,Wheat flour - Retail,35.79,Rajshahi Division
1/15/2014,Wheat flour - Retail,36.5,Rajshahi Division
2/15/2014,Wheat flour - Retail,36.1429,Rajshahi Division
3/15/2014,Wheat flour - Retail,36,Rajshahi Division
4/15/2014,Wheat flour - Retail,36.14,Rajshahi Division
5/15/2014,Wheat flour - Retail,35.4,Rajshahi Division
6/15/2014,Wheat flour - Retail,35.25,Rajshahi Division
7/15/2014,Wheat flour - Retail,35.1333,Rajshahi Division
8/15/2014,Wheat flour - Retail,34.6471,Rajshahi Division
9/15/2014,Wheat flour - Retail,34.7857,Rajshahi Division
10/15/2014,Wheat flour - Retail,34.8,Rajshahi Division
11/15/2014,Wheat flour - Retail,34.8,Rajshahi Division
12/15/2014,Wheat flour - Retail,35.2667,Rajshahi Division
