date,cmname,price,mktname
2/15/2007,Lentils (masur) - Retail,54,Sylhet Division
3/15/2007,Lentils (masur) - Retail,54,Sylhet Division
7/15/2007,Lentils (masur) - Retail,57,Sylhet Division
8/15/2007,Lentils (masur) - Retail,60,Sylhet Division
9/15/2007,Lentils (masur) - Retail,65,Sylhet Division
10/15/2007,Lentils (masur) - Retail,65,Sylhet Division
11/15/2007,Lentils (masur) - Retail,65,Sylhet Division
12/15/2007,Lentils (masur) - Retail,65,Sylhet Division
2/15/2008,Lentils (masur) - Retail,71,Sylhet Division
3/15/2008,Lentils (masur) - Retail,75,Sylhet Division
4/15/2008,Lentils (masur) - Retail,82,Sylhet Division
5/15/2008,Lentils (masur) - Retail,82,Sylhet Division
6/15/2008,Lentils (masur) - Retail,82,Sylhet Division
7/15/2008,Lentils (masur) - Retail,90,Sylhet Division
8/15/2008,Lentils (masur) - Retail,92,Sylhet Division
10/15/2008,Lentils (masur) - Retail,91,Sylhet Division
11/15/2008,Lentils (masur) - Retail,85,Sylhet Division
12/15/2008,Lentils (masur) - Retail,81,Sylhet Division
1/15/2009,Lentils (masur) - Retail,78,Sylhet Division
2/15/2009,Lentils (masur) - Retail,77,Sylhet Division
3/15/2009,Lentils (masur) - Retail,78,Sylhet Division
4/15/2009,Lentils (masur) - Retail,81,Sylhet Division
5/15/2009,Lentils (masur) - Retail,85,Sylhet Division
6/15/2009,Lentils (masur) - Retail,85,Sylhet Division
8/15/2009,Lentils (masur) - Retail,98,Sylhet Division
9/15/2009,Lentils (masur) - Retail,102,Sylhet Division
10/15/2009,Lentils (masur) - Retail,95.5,Sylhet Division
11/15/2009,Lentils (masur) - Retail,87,Sylhet Division
12/15/2009,Lentils (masur) - Retail,89,Sylhet Division
1/15/2010,Lentils (masur) - Retail,91,Sylhet Division
2/15/2010,Lentils (masur) - Retail,87,Sylhet Division
3/15/2010,Lentils (masur) - Retail,85,Sylhet Division
4/15/2010,Lentils (masur) - Retail,85,Sylhet Division
5/15/2010,Lentils (masur) - Retail,85,Sylhet Division
6/15/2010,Lentils (masur) - Retail,85,Sylhet Division
7/15/2010,Lentils (masur) - Retail,85,Sylhet Division
8/15/2010,Lentils (masur) - Retail,80,Sylhet Division
9/15/2010,Lentils (masur) - Retail,80,Sylhet Division
10/15/2010,Lentils (masur) - Retail,80,Sylhet Division
11/15/2010,Lentils (masur) - Retail,102,Sylhet Division
12/15/2010,Lentils (masur) - Retail,102,Sylhet Division
1/15/2011,Lentils (masur) - Retail,80,Sylhet Division
2/15/2011,Lentils (masur) - Retail,80,Sylhet Division
3/15/2011,Lentils (masur) - Retail,80,Sylhet Division
4/15/2011,Lentils (masur) - Retail,80,Sylhet Division
5/15/2011,Lentils (masur) - Retail,80,Sylhet Division
6/15/2011,Lentils (masur) - Retail,73,Sylhet Division
7/15/2011,Lentils (masur) - Retail,73,Sylhet Division
8/15/2011,Lentils (masur) - Retail,72.5,Sylhet Division
9/15/2011,Lentils (masur) - Retail,75,Sylhet Division
10/15/2011,Lentils (masur) - Retail,76.5556,Sylhet Division
11/15/2011,Lentils (masur) - Retail,63.75,Sylhet Division
12/15/2011,Lentils (masur) - Retail,72.4659,Sylhet Division
1/15/2012,Lentils (masur) - Retail,71.75,Sylhet Division
2/15/2012,Lentils (masur) - Retail,72.75,Sylhet Division
3/15/2012,Lentils (masur) - Retail,75.25,Sylhet Division
4/15/2012,Lentils (masur) - Retail,76,Sylhet Division
5/15/2012,Lentils (masur) - Retail,80.25,Sylhet Division
6/15/2012,Lentils (masur) - Retail,84.75,Sylhet Division
7/15/2012,Lentils (masur) - Retail,86,Sylhet Division
8/15/2012,Lentils (masur) - Retail,85,Sylhet Division
9/15/2012,Lentils (masur) - Retail,86.5,Sylhet Division
10/15/2012,Lentils (masur) - Retail,87.25,Sylhet Division
11/15/2012,Lentils (masur) - Retail,84.25,Sylhet Division
12/15/2012,Lentils (masur) - Retail,84.25,Sylhet Division
1/15/2013,Lentils (masur) - Retail,84,Sylhet Division
2/15/2013,Lentils (masur) - Retail,90,Sylhet Division
3/15/2013,Lentils (masur) - Retail,83.25,Sylhet Division
4/15/2013,Lentils (masur) - Retail,82,Sylhet Division
5/15/2013,Lentils (masur) - Retail,83.25,Sylhet Division
6/15/2013,Lentils (masur) - Retail,86.5,Sylhet Division
7/15/2013,Lentils (masur) - Retail,87.75,Sylhet Division
8/15/2013,Lentils (masur) - Retail,87.75,Sylhet Division
9/15/2013,Lentils (masur) - Retail,88,Sylhet Division
10/15/2013,Lentils (masur) - Retail,86.75,Sylhet Division
11/15/2013,Lentils (masur) - Retail,85.25,Sylhet Division
12/15/2013,Lentils (masur) - Retail,85.25,Sylhet Division
1/15/2014,Lentils (masur) - Retail,86.5,Sylhet Division
2/15/2014,Lentils (masur) - Retail,84,Sylhet Division
3/15/2014,Lentils (masur) - Retail,84,Sylhet Division
4/15/2014,Lentils (masur) - Retail,82.5,Sylhet Division
5/15/2014,Lentils (masur) - Retail,82.5,Sylhet Division
6/15/2014,Lentils (masur) - Retail,82.25,Sylhet Division
7/15/2014,Lentils (masur) - Retail,84.25,Sylhet Division
8/15/2014,Lentils (masur) - Retail,88.75,Sylhet Division
9/15/2014,Lentils (masur) - Retail,86,Sylhet Division
10/15/2014,Lentils (masur) - Retail,89,Sylhet Division
11/15/2014,Lentils (masur) - Retail,89.5,Sylhet Division
12/15/2014,Lentils (masur) - Retail,90,Sylhet Division
1/15/2015,Lentils (masur) - Retail,92.5,Sylhet Division
2/15/2015,Lentils (masur) - Retail,95.25,Sylhet Division
3/15/2015,Lentils (masur) - Retail,96,Sylhet Division
4/15/2015,Lentils (masur) - Retail,94,Sylhet Division
5/15/2015,Lentils (masur) - Retail,100,Sylhet Division
6/15/2015,Lentils (masur) - Retail,100,Sylhet Division
7/15/2015,Lentils (masur) - Retail,101,Sylhet Division
8/15/2015,Lentils (masur) - Retail,104.75,Sylhet Division
9/15/2015,Lentils (masur) - Retail,107.5,Sylhet Division
10/15/2015,Lentils (masur) - Retail,111,Sylhet Division
11/15/2015,Lentils (masur) - Retail,109.75,Sylhet Division
12/15/2015,Lentils (masur) - Retail,107,Sylhet Division
1/15/2016,Lentils (masur) - Retail,105.5,Sylhet Division
2/15/2016,Lentils (masur) - Retail,103.75,Sylhet Division
3/15/2016,Lentils (masur) - Retail,105.5,Sylhet Division
4/15/2016,Lentils (masur) - Retail,107,Sylhet Division
5/15/2016,Lentils (masur) - Retail,107.25,Sylhet Division
6/15/2016,Lentils (masur) - Retail,108.25,Sylhet Division
7/15/2016,Lentils (masur) - Retail,109,Sylhet Division
8/15/2016,Lentils (masur) - Retail,109,Sylhet Division
9/15/2016,Lentils (masur) - Retail,109.7,Sylhet Division
10/15/2016,Lentils (masur) - Retail,106.75,Sylhet Division
11/15/2016,Lentils (masur) - Retail,101.5,Sylhet Division
12/15/2016,Lentils (masur) - Retail,105,Sylhet Division
1/15/2017,Lentils (masur) - Retail,111.25,Sylhet Division
2/15/2017,Lentils (masur) - Retail,106.25,Sylhet Division
3/15/2017,Lentils (masur) - Retail,91,Sylhet Division
4/15/2017,Lentils (masur) - Retail,89.5,Sylhet Division
5/15/2017,Lentils (masur) - Retail,78,Sylhet Division
6/15/2017,Lentils (masur) - Retail,85.4925,Sylhet Division
7/15/2017,Lentils (masur) - Retail,98.5,Sylhet Division
8/15/2017,Lentils (masur) - Retail,71.645,Sylhet Division
