date,cmname,price,mktname
1/15/2007,Wheat flour - Retail,27,Sylhet Division
2/15/2007,Wheat flour - Retail,27.3333,Sylhet Division
3/15/2007,Wheat flour - Retail,27,Sylhet Division
4/15/2007,Wheat flour - Retail,27,Sylhet Division
5/15/2007,Wheat flour - Retail,27,Sylhet Division
6/15/2007,Wheat flour - Retail,27,Sylhet Division
7/15/2007,Wheat flour - Retail,27,Sylhet Division
8/15/2007,Wheat flour - Retail,32,Sylhet Division
9/15/2007,Wheat flour - Retail,32.5,Sylhet Division
10/15/2007,Wheat flour - Retail,33,Sylhet Division
11/15/2007,Wheat flour - Retail,38.5,Sylhet Division
12/15/2007,Wheat flour - Retail,39,Sylhet Division
1/15/2008,Wheat flour - Retail,40.5,Sylhet Division
2/15/2008,Wheat flour - Retail,42.6667,Sylhet Division
3/15/2008,Wheat flour - Retail,44.6667,Sylhet Division
4/15/2008,Wheat flour - Retail,44,Sylhet Division
5/15/2008,Wheat flour - Retail,42.3333,Sylhet Division
6/15/2008,Wheat flour - Retail,41,Sylhet Division
7/15/2008,Wheat flour - Retail,40.3333,Sylhet Division
8/15/2008,Wheat flour - Retail,40.6667,Sylhet Division
9/15/2008,Wheat flour - Retail,39,Sylhet Division
10/15/2008,Wheat flour - Retail,39,Sylhet Division
11/15/2008,Wheat flour - Retail,36.6667,Sylhet Division
12/15/2008,Wheat flour - Retail,29.3333,Sylhet Division
1/15/2009,Wheat flour - Retail,27,Sylhet Division
2/15/2009,Wheat flour - Retail,26,Sylhet Division
3/15/2009,Wheat flour - Retail,26,Sylhet Division
4/15/2009,Wheat flour - Retail,24.5,Sylhet Division
5/15/2009,Wheat flour - Retail,23.5,Sylhet Division
6/15/2009,Wheat flour - Retail,23,Sylhet Division
7/15/2009,Wheat flour - Retail,23,Sylhet Division
8/15/2009,Wheat flour - Retail,22.5,Sylhet Division
9/15/2009,Wheat flour - Retail,22,Sylhet Division
10/15/2009,Wheat flour - Retail,21.6667,Sylhet Division
11/15/2009,Wheat flour - Retail,22.3333,Sylhet Division
12/15/2009,Wheat flour - Retail,22.6667,Sylhet Division
1/15/2010,Wheat flour - Retail,25,Sylhet Division
2/15/2010,Wheat flour - Retail,25,Sylhet Division
3/15/2010,Wheat flour - Retail,25,Sylhet Division
4/15/2010,Wheat flour - Retail,25,Sylhet Division
5/15/2010,Wheat flour - Retail,25,Sylhet Division
6/15/2010,Wheat flour - Retail,26,Sylhet Division
7/15/2010,Wheat flour - Retail,26,Sylhet Division
8/15/2010,Wheat flour - Retail,26,Sylhet Division
9/15/2010,Wheat flour - Retail,30.5,Sylhet Division
10/15/2010,Wheat flour - Retail,34.5,Sylhet Division
11/15/2010,Wheat flour - Retail,34.5,Sylhet Division
12/15/2010,Wheat flour - Retail,34.5,Sylhet Division
1/15/2011,Wheat flour - Retail,36.5,Sylhet Division
2/15/2011,Wheat flour - Retail,37,Sylhet Division
3/15/2011,Wheat flour - Retail,37,Sylhet Division
4/15/2011,Wheat flour - Retail,36,Sylhet Division
5/15/2011,Wheat flour - Retail,34.5,Sylhet Division
6/15/2011,Wheat flour - Retail,33.5,Sylhet Division
7/15/2011,Wheat flour - Retail,32,Sylhet Division
8/15/2011,Wheat flour - Retail,31.33,Sylhet Division
9/15/2011,Wheat flour - Retail,32,Sylhet Division
10/15/2011,Wheat flour - Retail,31.7778,Sylhet Division
11/15/2011,Wheat flour - Retail,33.25,Sylhet Division
12/15/2011,Wheat flour - Retail,32.5774,Sylhet Division
1/15/2012,Wheat flour - Retail,32.75,Sylhet Division
2/15/2012,Wheat flour - Retail,35.5,Sylhet Division
3/15/2012,Wheat flour - Retail,38.75,Sylhet Division
4/15/2012,Wheat flour - Retail,37.5,Sylhet Division
5/15/2012,Wheat flour - Retail,34,Sylhet Division
6/15/2012,Wheat flour - Retail,32.75,Sylhet Division
7/15/2012,Wheat flour - Retail,33,Sylhet Division
8/15/2012,Wheat flour - Retail,34,Sylhet Division
9/15/2012,Wheat flour - Retail,35.25,Sylhet Division
10/15/2012,Wheat flour - Retail,37.5,Sylhet Division
11/15/2012,Wheat flour - Retail,37.75,Sylhet Division
12/15/2012,Wheat flour - Retail,37.75,Sylhet Division
1/15/2013,Wheat flour - Retail,32.75,Sylhet Division
2/15/2013,Wheat flour - Retail,38.25,Sylhet Division
3/15/2013,Wheat flour - Retail,38,Sylhet Division
4/15/2013,Wheat flour - Retail,38.5,Sylhet Division
5/15/2013,Wheat flour - Retail,38,Sylhet Division
6/15/2013,Wheat flour - Retail,38.25,Sylhet Division
7/15/2013,Wheat flour - Retail,38,Sylhet Division
8/15/2013,Wheat flour - Retail,36.8192,Sylhet Division
9/15/2013,Wheat flour - Retail,36.25,Sylhet Division
10/15/2013,Wheat flour - Retail,35,Sylhet Division
11/15/2013,Wheat flour - Retail,35.5,Sylhet Division
12/15/2013,Wheat flour - Retail,37,Sylhet Division
1/15/2014,Wheat flour - Retail,37.75,Sylhet Division
2/15/2014,Wheat flour - Retail,38.75,Sylhet Division
3/15/2014,Wheat flour - Retail,38.75,Sylhet Division
4/15/2014,Wheat flour - Retail,38.25,Sylhet Division
5/15/2014,Wheat flour - Retail,38.25,Sylhet Division
6/15/2014,Wheat flour - Retail,38.5,Sylhet Division
7/15/2014,Wheat flour - Retail,38,Sylhet Division
8/15/2014,Wheat flour - Retail,37.75,Sylhet Division
9/15/2014,Wheat flour - Retail,37.75,Sylhet Division
10/15/2014,Wheat flour - Retail,37.25,Sylhet Division
11/15/2014,Wheat flour - Retail,37.5,Sylhet Division
12/15/2014,Wheat flour - Retail,37.5,Sylhet Division
1/15/2015,Wheat flour - Retail,37.25,Sylhet Division
2/15/2015,Wheat flour - Retail,37.25,Sylhet Division
3/15/2015,Wheat flour - Retail,36.25,Sylhet Division
4/15/2015,Wheat flour - Retail,36.25,Sylhet Division
5/15/2015,Wheat flour - Retail,35.25,Sylhet Division
6/15/2015,Wheat flour - Retail,34.75,Sylhet Division
7/15/2015,Wheat flour - Retail,34.75,Sylhet Division
8/15/2015,Wheat flour - Retail,34,Sylhet Division
9/15/2015,Wheat flour - Retail,34,Sylhet Division
10/15/2015,Wheat flour - Retail,33.75,Sylhet Division
11/15/2015,Wheat flour - Retail,33.5,Sylhet Division
12/15/2015,Wheat flour - Retail,33,Sylhet Division
1/15/2016,Wheat flour - Retail,33.5,Sylhet Division
2/15/2016,Wheat flour - Retail,33.5,Sylhet Division
3/15/2016,Wheat flour - Retail,33.5,Sylhet Division
4/15/2016,Wheat flour - Retail,32.25,Sylhet Division
5/15/2016,Wheat flour - Retail,31.75,Sylhet Division
6/15/2016,Wheat flour - Retail,31.75,Sylhet Division
7/15/2016,Wheat flour - Retail,31.75,Sylhet Division
8/15/2016,Wheat flour - Retail,31.75,Sylhet Division
9/15/2016,Wheat flour - Retail,32.3,Sylhet Division
10/15/2016,Wheat flour - Retail,32.33,Sylhet Division
11/15/2016,Wheat flour - Retail,32.67,Sylhet Division
12/15/2016,Wheat flour - Retail,33,Sylhet Division
1/15/2017,Wheat flour - Retail,32.67,Sylhet Division
2/15/2017,Wheat flour - Retail,33,Sylhet Division
3/15/2017,Wheat flour - Retail,33,Sylhet Division
4/15/2017,Wheat flour - Retail,32.5,Sylhet Division
5/15/2017,Wheat flour - Retail,33,Sylhet Division
6/15/2017,Wheat flour - Retail,31.9175,Sylhet Division
7/15/2017,Wheat flour - Retail,31.505,Sylhet Division
8/15/2017,Wheat flour - Retail,31.86,Sylhet Division
9/15/2017,Wheat flour - Retail,32.445,Sylhet Division
10/15/2017,Wheat flour - Retail,32.7,Sylhet Division
11/15/2017,Wheat flour - Retail,33,Sylhet Division
12/15/2017,Wheat flour - Retail,33.125,Sylhet Division
1/15/2018,Wheat flour - Retail,33.283,Sylhet Division
2/15/2018,Wheat flour - Retail,33.165,Sylhet Division
3/15/2018,Wheat flour - Retail,33.013,Sylhet Division
4/15/2018,Wheat flour - Retail,33.125,Sylhet Division
5/15/2018,Wheat flour - Retail,33.065,Sylhet Division
6/15/2018,Wheat flour - Retail,33.125,Sylhet Division
7/15/2018,Wheat flour - Retail,33.125,Sylhet Division
8/15/2018,Wheat flour - Retail,33.125,Sylhet Division
9/15/2018,Wheat flour - Retail,33.125,Sylhet Division
10/15/2018,Wheat flour - Retail,33.1025,Sylhet Division
11/15/2018,Wheat flour - Retail,32.833,Sylhet Division
12/15/2018,Wheat flour - Retail,32.913,Sylhet Division
1/15/2019,Wheat flour - Retail,33.29,Sylhet Division
2/15/2019,Wheat flour - Retail,33.33,Sylhet Division
3/15/2019,Wheat flour - Retail,33.33,Sylhet Division
4/15/2019,Wheat flour - Retail,33.43,Sylhet Division
5/15/2019,Wheat flour - Retail,33.67,Sylhet Division
6/15/2019,Wheat flour - Retail,33.67,Sylhet Division
7/15/2019,Wheat flour - Retail,33.7,Sylhet Division
10/15/2019,Wheat flour - Retail,33.7,Sylhet Division
11/15/2019,Wheat flour - Retail,33.7,Sylhet Division
